Sub-Pillar,Country Name,agg_score,count_source,agg_score_wt
Ambition,Guinea,2.3340336134453783,1,2.3340336134453783
Ambition,Low-income Countries,2.3340336134453783,1,2.3340336134453783
Ambition,Angola,2.260504201680672,1,2.260504201680672
Ambition,Oceania,2.239495798319328,1,2.239495798319328
Ambition,Benin,2.2184873949579837,1,2.2184873949579837
Ambition,Niger,2.1764705882352944,1,2.1764705882352944
Ambition,Sudan,2.1764705882352944,1,2.1764705882352944
Ambition,"Congo, Dem. Rep.",2.155462184873949,1,2.155462184873949
Ambition,Madagascar,2.1239495798319328,1,2.1239495798319328
Ambition,Nigeria,2.1134453781512605,1,2.1134453781512605
Ambition,Liberia,2.081932773109244,1,2.081932773109244
Ambition,Somalia,1.766806722689076,1,1.766806722689076
Ambition,Chad,1.2731092436974791,1,1.2731092436974791
Ambition,South Sudan,1.0630252100840338,1,1.0630252100840338
Ambition,Central African Republic,1.0,1,1.0
Ambition,Andorra,,0,
Ambition,Antigua and Barbuda,,0,
Ambition,"Bahamas, The",,0,
Ambition,Comoros,,0,
Ambition,Dominica,,0,
Ambition,Equatorial Guinea,,0,
Ambition,Eritrea,,0,
Ambition,Grenada,,0,
Ambition,Guinea-Bissau,,0,
Ambition,Kiribati,,0,
Ambition,"Korea, Dem. Rep.",,0,
Ambition,Libya,,0,
Ambition,Liechtenstein,,0,
Ambition,Marshall Islands,,0,
Ambition,"Micronesia, Fed. Sts.",,0,
Ambition,Monaco,,0,
Ambition,Nauru,,0,
Ambition,Palau,,0,
Ambition,Samoa,,0,
Ambition,San Marino,,0,
Ambition,Seychelles,,0,
Ambition,Solomon Islands,,0,
Ambition,St. Kitts and Nevis,,0,
Ambition,St. Lucia,,0,
Ambition,St. Vincent and the Grenadines,,0,
Ambition,Timor-Leste,,0,
Ambition,Tonga,,0,
Ambition,Tuvalu,,0,
