Country Name,agg_score,count_source,agg_score_wt
Hong Kong (China),3.82125,2,0.25475
Upper middle income,3.7750000000000004,2,0.2516666666666667
North Cyprus,3.768,1,0.1256
Portugal,3.753777125012792,26,3.25327350834442
Guadeloupe,3.75,1,0.125
East Asia & Pacific (excluding high income),3.75,2,0.25
Hong Kong S.A.R. of China,3.7385,1,0.12461666666666667
Azerbaijan,3.721272734206933,21,2.604890913944853
Iran,3.7163107375714293,7,0.8671391721000001
Turkey,3.7126818502810814,29,3.5889257886050454
South Korea,3.70710891001937,9,1.112132673005811
Egypt,3.7032201025994627,23,2.8391354119929217
Palau,3.7028981540237362,4,0.49371975386983147
"Hong Kong SAR, China",3.6941948913301936,3,0.36941948913301936
Congo (Brazzaville),3.671,1,0.12236666666666667
South Africa,3.666199404712974,22,2.6885462301228475
Peru,3.664443217647393,25,3.0537026813728274
Morocco,3.6554090815533935,25,3.046174234627828
Democratic Republic of the Congo,3.6515,1,0.12171666666666667
Tanzania (United Republic of),3.645,1,0.1215
Tunisia,3.6395484370207627,21,2.5476839059145338
Chile,3.631737437549429,18,2.179042462529657
Ecuador,3.6282424526425077,17,2.056004056497421
Russia,3.621069466455362,9,1.0863208399366087
Thailand,3.6164863001964522,25,3.0137385834970436
Bahamas,3.6149500000000003,8,0.9639866666666668
Bulgaria,3.607438087038237,20,2.404958724692158
Montserrat,3.6,1,0.12
Mongolia,3.5989718954601826,21,2.5192803268221278
Uzbekistan,3.5988719484000002,19,2.27928556732
Serbia,3.5943456323167244,22,2.6358534636989313
Mexico,3.5829158271721098,27,3.224624244454899
Ukraine,3.5797366724263187,20,2.386491114950879
Montenegro,3.5741444209564603,20,2.3827629473043066
Dominican Republic,3.5548105994776926,15,1.7774052997388463
Bolivia,3.5468038633502084,12,1.4187215453400834
North Macedonia,3.5413257374166665,16,1.8887070599555553
China,3.5267424060540202,26,3.0565100852468174
Philippines,3.4925362730104488,22,2.561193266874329
Cabo Verde,3.489624960870783,15,1.7448124804353915
Cote d'Ivoire,3.4866748262500002,6,0.69733496525
Cambodia,3.485878173688596,22,2.55631066070497
Morroco,3.4775,1,0.11591666666666667
Indonesia,3.472584935155588,28,3.241079272811882
Laos,3.457233462714286,7,0.8066878079666667
World,3.45,2,0.23
Congo (Democratic Republic of the),3.4,1,0.11333333333333333
Europe & Central Asia (excluding high income),3.4,2,0.22666666666666666
Bosnia and Herzegovina,3.3996763188394223,20,2.2664508792262814
Cook Islands,3.389,1,0.11296666666666666
Panama,3.3755289017910464,19,2.137834971134329
U.A.E,3.3692551505546757,1,0.11230850501848919
Oman,3.3623880723984794,15,1.6811940361992397
United Republic of Tanzania,3.3295,1,0.11098333333333332
Paraguay,3.3156252724753554,20,2.2104168483169033
"Iran, Islamic Rep.",3.2959055058180873,5,0.5493175843030145
Guatemala,3.2709234572367376,21,2.2896464200657163
Martinique,3.2665,1,0.10888333333333333
Palestinian Territories,3.2585,1,0.10861666666666667
Albania,3.2342049934136496,20,2.1561366622757663
Worldwide,3.211632329635499,2,0.21410882197569994
Armenia,3.1840805382680966,19,2.016584340903128
Middle income,3.175,2,0.21166666666666664
Lesotho,3.154938367125932,20,2.1032922447506213
Swaziland,3.154,1,0.10513333333333333
Saint Vincent and the Grenadines,3.1416818181818185,7,0.7330590909090909
