user_loc,fr_loc,scaled_sci
CR,BN,631
CR,AR,8564
CR,CR,21101907
CR,AU,1407
CR,CH,6997
CR,BY,868
CR,AG,4562
CR,AZ,326
CR,BG,806
CR,CF,706
CR,CA,5279
CR,BS,6092
CR,CI,1177
CR,AO,1667
CR,AT,2480
CR,BH,990
LU,JE,112895
LU,BA,110784
LU,FJ,882
LU,LK,1455
LU,IN,993
LU,BO,1544
LU,LB,11012
LU,GT,914
LU,BB,7820
LU,BR,6328
LU,BT,853
LU,LS,749
LU,GF,19012
LU,KG,1152
LU,HK,5258
LU,CM,22966
LU,JO,2084
LU,FI,23578
LU,GR,51824
LU,AG,3932
LU,BS,4171
LU,ES,21047
LU,IT,51683
LU,LR,6611
LU,GU,2225
LU,IM,29840
LU,FR,104424
LU,GQ,17919
ZM,GB,3676
MX,GB,562
ZM,TG,40171
ZM,MD,309
MX,MD,220
ZM,MR,17862
MX,MR,499
ZM,GW,23695
MX,GW,712
ZM,MV,3102
MX,MV,588
ZM,LB,5681
MX,LB,675
ZM,AU,2762
MX,AU,587
ZM,PG,13483
ZM,GE,552
MX,GE,313
ZM,CD,118862
MX,CD,504
ZM,NE,20998
ZM,SZ,112572
ZM,LC,6594
MX,LC,820
ZM,MY,828
ZM,GM,21965
MX,GM,1264
ZM,KH,800
MX,KH,231
ZM,LU,1202
MX,LU,1043
ZM,HR,479
MX,HR,439
ZM,MQ,1941
MX,MQ,523
ZM,RS,891
ZM,MU,6351
MX,MU,485
ZM,YT,11816
ZM,MZ,79009
ZM,TO,8140
ZM,MO,329
MX,MO,257
ZM,TR,1286
ZM,RE,2540
ZM,TL,1142
ZM,ML,29006
MX,ML,573
ZM,NL,1373
ZM,CF,101827
MX,CF,406
ZM,NC,349
ZM,BS,6492
MX,BS,1383
ZM,CO,814
MX,CO,9419
