Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2015,2016,2017
MAR,Morocco,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,41.5,43,
MAR,Morocco,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,79,85
MDA,Moldova,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,51.4,59,
MDA,Moldova,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,58,66
MDG,Madagascar,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,11.7,29,
MDG,Madagascar,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,134,118
MEX,Mexico,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,49.1,42,
MEX,Mexico,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,63,90
MKD,"Macedonia, FYR",24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,60,,
MKD,"Macedonia, FYR",24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,45,
MLI,Mali,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,13.5,23,
MLI,Mali,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,131,124
MLT,Malta,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,66.3,85,
MLT,Malta,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,33,28
MMR,Myanmar,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,12,23,
MMR,Myanmar,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,133,123
MNE,Montenegro,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,41.5,57,
MNE,Montenegro,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,78,69
MNG,Mongolia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,29.8,64,
MNG,Mongolia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,101,55
MRT,Mauritania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,,21,
MRT,Mauritania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,,126
MUS,Mauritius,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,45.9,76,
MUS,Mauritius,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,70,39
MWI,Malawi,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,14.2,17,
MWI,Malawi,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,129,131
MYS,Malaysia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,60.1,77,
MYS,Malaysia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,44,38
NAM,Namibia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,,42,
NAM,Namibia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,,89
NER,Niger,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,6.5,3,
NER,Niger,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,137,144
NGA,Nigeria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,30.4,46,
NGA,Nigeria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,100,80
NIC,Nicaragua,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,20.7,23,
NIC,Nicaragua,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank,,114,122
NLD,Netherlands,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value,79.5,95.9,
