"Percentage of Population Using Internet by Age, Sex, Variable, Country and Year",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,Luxembourg,..,..,..,..,..,48.0,54.0,57.0,61.0,71.0,72.0,85.0,86.0,87.0,92.0,93.0,95.0,97.0,97.0,98.0,96.0,97.0,..
,,,Malta,..,..,..,..,..,..,..,31.0,..,39.0,48.0,61.0,64.0,72.0,76.0,77.0,81.0,86.0,92.0,95.0,95.0,97.0,..
,,,Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.9,95.3,96.7,96.7,98.2,96.2,99.2,97.7,..
,,,Netherlands,..,..,..,..,..,..,..,77.0,82.0,87.0,90.0,91.0,94.0,96.0,96.0,97.0,94.0,96.0,95.0,98.0,97.0,96.0,..
,,,North Macedonia,..,..,..,..,..,..,10.0,..,12.0,16.0,33.0,49.0,52.0,..,54.0,67.0,69.0,77.0,79.0,83.0,83.0,93.0,..
,,,Norway,..,..,..,..,..,68.0,74.0,79.0,81.0,86.0,93.0,92.0,95.0,96.0,98.0,98.0,98.0,99.0,99.0,99.0,100.0,99.0,..
,,,Poland,..,..,..,..,..,..,20.0,28.0,34.0,40.0,49.0,59.0,64.0,68.0,71.0,74.0,76.0,79.0,83.0,86.0,89.0,92.0,..
,,,Portugal,..,..,..,..,..,20.0,25.0,26.0,31.0,33.0,36.0,43.0,46.0,57.0,61.0,65.0,69.0,74.0,80.0,83.0,84.0,87.0,..
,,,Romania,..,..,..,..,..,..,..,..,17.0,21.0,26.0,32.0,37.0,40.0,48.0,51.0,56.0,59.0,65.0,72.0,80.0,81.0,..
,,,Russian Federation,..,..,..,..,..,..,66.0,75.0,75.0,84.0,87.0,90.0,91.0,94.0,..,70.0,..,..,..,..,..,..,..
,,,Serbia,..,..,..,..,..,..,..,..,..,24.8,30.2,35.3,39.3,43.7,51.2,60.7,70.2,75.3,81.7,81.2,..,..,..
,,,Slovakia,..,..,..,..,..,..,40.0,45.0,44.0,59.0,69.0,77.0,82.0,82.0,84.0,87.0,88.0,88.0,88.0,92.0,91.0,94.0,..
,,,Slovenia,..,..,..,..,..,..,35.0,..,52.0,58.0,61.0,69.0,75.0,75.0,75.0,78.0,83.0,83.0,87.0,91.0,90.0,91.0,..
,,,Spain,..,..,..,..,..,28.0,30.0,35.0,39.0,45.0,50.0,56.0,63.0,68.0,70.0,73.0,81.0,85.0,87.0,91.0,93.0,95.0,..
,,,Sweden,..,..,..,..,..,73.0,79.0,83.0,86.0,82.0,90.0,95.0,96.0,96.0,94.0,98.0,92.0,94.0,95.0,98.0,94.0,99.0,..
,,,Switzerland,..,..,17.8,29.1,37.7,43.8,50.5,58.0,64.0,70.0,73.0,77.4,80.7,85.2,87.2,87.0,88.4,91.3,93.8,95.2,94.1,94.9,97.2
,,,Turkey,..,..,..,..,..,..,6.0,6.0,..,13.0,37.0,20.0,25.0,..,29.0,31.0,38.0,41.0,50.0,58.0,69.0,76.0,..
,,,Ukraine,..,..,..,..,..,..,..,..,..,2.8,6.3,10.6,16.5,22.3,30.2,35.9,42.5,56.5,63.1,70.5,75.2,83.6,..
,,,United Kingdom,..,..,..,..,..,49.0,49.0,53.0,59.0,68.0,74.0,81.0,86.0,86.0,90.0,93.0,96.0,94.0,97.0,96.0,98.0,99.0,..
,,,United States,12.0,24.0,55.0,66.0,..,..,70.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.2,46.1,62.0,..
55 - 74,Female,Weekly users of Internet,Albania,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.3,96.9,..
,,,Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,62.9,..,..,..
,,,Armenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
,,,Austria,..,..,..,..,..,6.0,10.0,10.0,16.0,24.0,25.0,24.0,29.0,33.0,37.0,37.0,40.0,45.0,50.0,55.0,59.0,59.0,..
,,,Azerbaijan,..,..,..,..,..,..,..,..,..,..,0.7,0.7,0.7,2.3,2.3,22.8,23.0,26.1,27.5,29.0,32.3,33.4,..
,,,Belarus,..,..,..,..,..,..,..,..,..,..,..,3.8,4.5,7.0,9.6,15.4,19.7,23.8,29.3,36.2,43.7,49.9,..
,,,Belgium,..,..,..,..,..,..,..,17.0,20.0,26.0,30.0,32.0,40.0,46.0,50.0,51.0,59.0,59.0,61.0,68.0,67.0,73.0,..
,,,Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.4,42.4,44.2,..
,,,Bulgaria,..,..,..,..,..,..,2.0,..,3.0,5.0,6.0,9.0,12.0,17.0,18.0,20.0,22.0,22.0,25.0,29.0,32.0,36.0,..
,,,Croatia,..,..,..,..,..,..,..,..,..,6.0,5.0,10.0,9.0,13.0,16.0,22.0,27.0,28.0,30.0,26.0,38.0,45.0,..
,,,Cyprus,..,..,..,..,..,..,3.0,3.0,4.0,6.0,5.0,9.0,8.0,12.0,17.0,17.0,20.0,29.0,30.0,45.0,52.0,57.0,..
,,,Czechia,..,..,..,..,..,3.0,4.0,4.0,8.0,11.0,16.0,19.0,23.0,26.0,32.0,36.0,43.0,45.0,50.0,49.0,57.0,59.0,..
,,,Denmark,..,..,..,..,..,32.0,40.0,43.0,51.0,47.0,51.0,59.0,63.0,67.0,70.0,74.0,82.0,83.0,88.0,89.0,90.0,89.0,..
,,,Estonia,..,..,..,..,..,..,14.0,16.0,18.0,22.0,25.0,30.0,34.0,38.0,42.0,48.0,57.0,62.0,62.0,65.0,67.0,70.0,..
,,,Finland,..,..,..,..,..,19.0,30.0,27.0,34.0,40.0,46.0,51.0,55.0,61.0,68.0,70.0,73.0,75.0,77.0,80.0,82.0,86.0,..
,,,France,..,..,..,..,..,..,..,..,10.0,22.0,36.0,37.0,39.0,47.0,52.0,52.0,56.0,58.0,63.0,63.0,69.0,71.0,..
,,,Georgia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.3,94.7,96.9,96.9,..
,,,Germany,..,..,..,..,..,..,13.0,19.0,22.0,26.0,29.0,32.0,38.0,41.0,43.0,48.0,53.0,58.0,64.0,66.0,72.0,74.0,..
,,,Greece,..,..,..,..,..,1.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,8.0,11.0,14.0,19.0,23.0,23.0,27.0,32.0,38.0,..
,,,Hungary,..,..,..,..,..,..,3.0,10.0,12.0,16.0,23.0,20.0,23.0,31.0,35.0,38.0,42.0,37.0,51.0,45.0,41.0,54.0,..
,,,Iceland,..,..,..,..,..,34.0,39.0,48.0,48.0,60.0,61.0,65.0,68.0,73.0,81.0,81.0,89.0,..,..,92.0,97.0,95.0,..
,,,Ireland,..,..,..,..,..,6.0,7.0,12.0,16.0,17.0,24.0,25.0,28.0,40.0,41.0,42.0,45.0,49.0,51.0,57.0,49.0,74.0,..
