id,ctry,cit,reg,name,url,stat,date,prfs,lat,lon,prts,traf,avg,trgh,ipv6_avg,pch,updt,tc_rank,tw_rank,pc_rank,pr_rank,pw_rank,tr_rank,prts_url,q9,iata,regct
166,"New Zealand",Dunedin,Asia-Pacific,"Dunedin Peering Exchange",http://dpe.nzix.net/,Defunct,20050000,0,-45.92000,170.17999,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://dpe.nzix.net/peers.html,No,,249
167,"New Zealand",Invercargill,Asia-Pacific,"Southland Internet Exchange",http://six.nzix.net/,Planned,0,0,-46.40224,168.35500,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
169,"New Zealand",Waikato,Asia-Pacific,"New Zealand Internet Exchange",http://www.waikato.ac.nz/NZIX/,Defunct,0,0,-40.62142,172.67887,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
170,"New Zealand","Upper Hutt/Lower Hutt/Porirua",Asia-Pacific,"Three Cities Internet Exchange",http://3cix.nzix.net/,Defunct,20050600,0,-41.11579,174.95364,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://3cix.nzix.net/peers.html,No,,249
172,Nicaragua,Managua,"Latin America","Nicaraguan Internet Exchange",http://www.ain.org.ni/index.php/nicix,Unknown,20040400,0,12.15000,-86.17000,0,0,0,0,0.000000,No,2015-11-03,,,,,,,http://www.ain.org.ni/index.php/nicix#Miembros,No,,137
173,Nigeria,Ibadan,Africa,"Ibadan Internet Exchange",http://www.ib-ix.net,Defunct,20020300,0,7.43000,3.90000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,81
175,Pakistan,Karachi,Asia-Pacific,"Pakistan Network Access Point",,Defunct,0,0,24.90000,67.13000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
177,Panama,"Panama City","Latin America","NAP Panamericano S.A.",http://www.sunglobefiber.com/panamnap.htm,Defunct,0,0,8.97000,-79.53000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,137
178,Panama,,"Latin America","Secretaria Nacional de Ciencia, Tecnologia e Innovacion",http://www.senacyt.gob.pa/,Unknown,0,0,,,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,137
179,Paraguay,Asuncion,"Latin America","CAPADI NAP-PY",http://www.capadi.org.py,Defunct,20000920,0,-25.24000,-57.52000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.capadi.org.py/articulo.php?id=17,No,,137
180,Peru,Lima,"Latin America","NAP Lima",,Defunct,0,0,-12.00000,-77.12000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,137
182,Philippines,Manila,Asia-Pacific,"Common Routing Exchange",http://www.ph.net/CORE/,Defunct,19930000,0,14.58000,120.95000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.ph.net/CORE/CORE-mem.html,No,,249
183,Philippines,Manila,Asia-Pacific,"Manila Internet Exchange",http://www.easterntelecom.com.ph/Products/index.asp?ID=39&MCID=3,"Not an exchange",0,0,14.58000,120.95000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,,No,,249
184,Philippines,Manila,Asia-Pacific,"Philippines Internet Exchange",http://www.phix.net.ph,"Not an exchange",19970100,0,14.58000,120.95000,0,0,0,0,0.000000,No,0000-00-00,,,,,,,http://www.phix.net.ph/phix/network.html#isp,No,,249
