CMS slug,Region Name,Sub-region Name,Country or Area,World Bank Income Level,Access,Association,Expression,Total Country Score
jordan,Asia,Western Asia,Jordan,Upper Middle Income,5.575766372666667,3.4285714285714284,5.999573949726067,5.001303916988054
seychelles,Africa,Sub-Saharan Africa,Seychelles,High Income,6.0,,,6.0
san-marino,Europe,Southern Europe,San Marino,High Income,1.5,,6.0,3.75
somalia,Africa,Sub-Saharan Africa,Somalia,Low Income,0.70041494375,,5.999975997167666,3.350195470458833
fiji,Oceania,Melanesia,Fiji,Upper Middle Income,2.7943092981666666,,,2.7943092981666666
papua-new-guinea,Oceania,Melanesia,Papua New Guinea,Lower Middle Income,2.1339506785,,6.0,4.06697533925
israel,Asia,Western Asia,Israel,High Income,5.495259227666667,,5.984464166771679,5.7398616972191725
nigeria,Africa,Sub-Saharan Africa,Nigeria,Lower Middle Income,4.183517176333333,4.571428571428571,5.999393928483562,4.918113225415156
mexico,Americas,Latin America and the Caribbean,Mexico,Upper Middle Income,4.873930338555556,4.571428571428571,5.998925873253044,5.148094927745723
malaysia,Asia,South-eastern Asia,Malaysia,Upper Middle Income,5.274803588333333,4.0,5.998085774121346,5.090963120818226
angola,Africa,Sub-Saharan Africa,Angola,Lower Middle Income,3.6797104518333335,5.285714285714286,,4.482712368773809
north-korea,Asia,Eastern Asia,Democratic People's Republic of Korea (the),Low Income,3.468637848,,,3.468637848
comoros,Africa,Sub-Saharan Africa,Comoros (the),Low income,2.292214647916667,,,2.292214647916667
sri-lanka,Asia,Southern Asia,Sri Lanka,Lower Middle Income,3.8063889185,4.285714285714286,5.998019766332427,4.696707656848904
philippines,Asia,South-eastern Asia,Philippines (the),Lower Middle Income,4.461405186916667,4.714285714285714,5.998877867588376,5.0581895895969184
gambia,Africa,Sub-Saharan Africa,Gambia (the),Low Income,3.8839368345,4.142857142857142,,4.013396988678571
solomon-islands,Oceania,Melanesia,Solomon Islands,Lower Middle Income,2.1974339803333334,,,2.1974339803333334
montenegro,Europe,Southern Europe,Montenegro,Upper Middle Income,5.014772532722223,,,5.014772532722223
antigua-and-barbuda,Americas,Latin America and the Caribbean,Antigua and Barbuda,High Income,1.5,,,1.5
cameroon,Africa,Sub-Saharan Africa,Cameroon,Lower Middle Income,4.394366010166666,,,4.394366010166666
france,Europe,Western Europe,France,High Income,5.379493254500001,5.285714285714286,5.921486735434781,5.528898091883022
burkina-faso,Africa,Sub-Saharan Africa,Burkina Faso,Low Income,2.5982792855,,,2.5982792855
timor-leste,Asia,South-eastern Asia,Timor-Leste,Lower Middle Income,5.0330720265,,,5.0330720265
uzbekistan,Asia,Central Asia,Uzbekistan,Lower Middle Income,4.4586956502222215,2.7142857142857144,5.999993999291917,4.3909917879332845
andorra,Europe,Southern Europe,Andorra,High Income,1.5,,,1.5
czechia,Europe,Eastern Europe,Czechia,High income,5.3647268629107145,,5.999633956806903,5.682180409858809
uruguay,Americas,Latin America and the Caribbean,Uruguay,High Income,5.353653222166667,,6.0,5.676826611083333
georgia,Asia,Western Asia,Georgia,Upper Middle Income,4.845425625777779,5.428571428571429,,5.136998527174604
lesotho,Africa,Sub-Saharan Africa,Lesotho,Lower Middle Income,3.664402210222223,,,3.664402210222223
united-arab-emirates,Asia,Western Asia,United Arab Emirates (the),High Income,5.972683488333334,2.2857142857142856,5.999657959639237,4.752685244562286
poland,Europe,Eastern Europe,Poland,High income,5.289816705555556,,5.996225554615444,5.643021130085501
kazakhstan,Asia,Central Asia,Kazakhstan,Upper Middle Income,5.1907060927222215,2.571428571428571,5.397336885752519,4.386490516634438
germany,Europe,Western Europe,Germany,High Income,5.4816090615,5.142857142857143,5.963509694143909,5.529325299500351
panama,Americas,Latin America and the Caribbean,Panama,Upper Middle Income,4.674314566166667,,,4.674314566166667
congo,Africa,Sub-Saharan Africa,Congo (the),Lower Middle Income,4.097017765125,,,4.097017765125
equatorial-guinea,Africa,Sub-Saharan Africa,Equatorial Guinea,Upper Middle Income,1.08240222925,,,1.08240222925
democratic-republic-of-the-congo,Africa,Sub-Saharan Africa,Democratic Republic of the Congo (the),Low Income,2.00425004,,,2.00425004
myanmar,Asia,South-eastern Asia,Myanmar,Lower Middle Income,4.272660954833333,2.0,,3.1363304774166667
dominica,Americas,Latin America and the Caribbean,Dominica,Upper Middle Income,1.5,,,1.5
yemen,Asia,Western Asia,Yemen,Low Income,2.75629253375,,,2.75629253375
togo,Africa,Sub-Saharan Africa,Togo,Low Income,3.0346997261666666,,,3.0346997261666666
grenada,Americas,Latin America and the Caribbean,Grenada,Upper Middle Income,1.44285926825,,,1.44285926825
viet-nam,Asia,South-eastern Asia,Viet Nam,Lower Middle Income,5.0676271812500016,1.8571428571428568,5.814158070652337,4.246309369681732
albania,Europe,Southern Europe,Albania,Upper Middle Income,4.687009048388888,,5.999015883874297,5.343012466131593
spain,Europe,Southern Europe,Spain,High Income,5.671107326444445,,5.087406313945046,5.379256820194746
haiti,Americas,Latin America and the Caribbean,Haiti,Lower Middle Income,3.901559448166666,,,3.901559448166666
belgium,Europe,Western Europe,Belgium,High Income,5.576997152611111,,5.994329330861042,5.785663241736076
