Indicator,Country,2000_value,2000_notes,2000_source,2001_value,2001_notes,2001_source,2002_value,2002_notes,2002_source,2003_value,2003_notes,2003_source,2004_value,2004_notes,2004_source,2005_value,2005_notes,2005_source,2006_value,2006_notes,2006_source,2007_value,2007_notes,2007_source,2008_value,2008_notes,2008_source,2009_value,2009_notes,2009_source,2010_value,2010_notes,2010_source,2011_value,2011_notes,2011_source,2012_value,2012_notes,2012_source,2013_value,2013_notes,2013_source,2014_value,2014_notes,2014_source,2015_value,2015_notes,2015_source,2016_value,2016_notes,2016_source,2017_value,2017_notes,2017_source,2018_value,2018_notes,2018_source,2019_value,2019_notes,2019_source,data_country,data_year
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,San Marino,14503,,,15854,,,16759,,,16900,,,17085,,,17150,,,17390,,,17500,,Direzione Generale Poste e Telecomunicazioni.,24402,,Direzione Generale Poste e Telecomunicazioni.,29949,,Direzione Generale Poste e Telecomunicazioni,30587,,Direzione Generale Poste e Telecomunicazioni.,35465,,Direzione Generale Poste e Telecomunicazioni,36000,,Direzione Generale Poste e Telecomunicazioni,36780,,Direzione Generale Poste e Telecomunicazioni,37600,,ITU estimate.,36624,,TELECOMMUNICATION SECTOR- Department of Economy,36570,,ITU estimate.,38000,,TELECOMMUNICATION SECTOR,38500,,TELECOMMUNICATION SECTOR,38750,,TELECOMMUNICATION SECTOR,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Sao Tome and Principe,0,,,0,,,1980,,,4819,,,7745,,,11953,,,18424,,,30099,,Companhia Santomense de Telecomuniçaôes s.a.r.l. (CST).,50551,,Autoridade Geral de Regulação,80829,,ITU estimate.,102730,,Autoridade Geral de Regulação,115038,,Autoridade Geral de Regulação,122172,,Autoridade Geral de Regulação,125329,,Autoridade Geral de Regulação,128500,,ITU estimate.,184971,,Autoridade Geral de Regulação,178047,,AGER - Autoridade Geral de Regulação,173963,,AGER - Autoridade Geral de Regulação,162610,,AGER - Autoridade Geral de Regulação,165761,,AGER - Autoridade Geral de Regulação,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Saudi Arabia,1375881,,,2528640,,,5007965,,ITU estimate.,7238224,,,9175764,,,14164184,,,19700000,,,28400000,,CITC Market Studies Department.,36000000,,CITC Market Studies Department.,44864355,,CITC Market Studies Department.,51564375,,Communication and Information Technology Commission,54000000,,Communication and Information Technology Commission,53000000,,Communication and Information Technology Commission,53104000,,Communication and Information Technology Commission,52735000,,Communication and Information Technology Commission,52796066,,Communication and Information Technology Commission,47932521,,Communications and Information Technology Commission (CITC),40210965,Decrease due to noew SIM registration requirements.,Communications and Information Technology Commission (CITC),41310584,,Communications and Information Technology Commission (CITC),41298629,,Communications and Information Technology Commission (CITC),,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Senegal,250251,,,301811,,,553449,,,782423,,,1121314,,,1730106,,,2982623,,,3630804,,Agence de Régulation des Télécommunications.,5389133,,Agence de Régulation des Télécommunications.,6901492,,Agence de Régulation des Télécommunications.,8343717,,Agence de Régulation des Télécommunications et des Postes (ARTP),9352868,,Agence de Régulation des Télécommunications et des Postes (ARTP),11470646,,Autorité de Régulation des Télécommunications et des Postes (ARTP),13133772,,Autorité de Régulation des Télécommunications et des Postes (ARTP),14379729,,Autorité de Régulation des Télécommunications et des Postes (ARTP),14959477,,Autorité de Régulation des Télécommunications et des Postes (ARTP),15186485,,ARTP,15758366,,ARTP,16559942,,ARTP,17880594,,ARTP,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Serbia,,,,,,,,,,,,,4729629,Incl. inactive prepaid subscriptions.,Ratel; Republic Telecommunication Agency.,5510690,Incl. inactive prepaid subscriptions.,Ratel; Republic Telecommunication Agency.,6643722,Incl. inactive prepaid subscriptions.,Ratel; Republic Telecommunication Agency.,8452642,Incl. inactive prepaid subscriptions.,Republic Telecommunication Agency RATEL.,9618767,Incl. inactive prepaid subscriptions.,Republic Telecommunication Agency RATEL.,9912339,Incl. inactive prepaid subscriptions.,Republic Telecommunication Agency RATEL.,9915348,Incl. inactive prepaid subscriptions.,Republic Agency for Electronic Communications (RATEL),10182023,Incl. inactive prepaid subscriptions.,Republic Agency for Electronic Communications (RATEL),9137894,Break in comparability: from this year only counting prepaid subscriptions used in the last 90 days.,Republic Agency for Electronic Communications (RATEL),9198717,,Republic Agency for Electronic Communications (RATEL),9344977,,Regulatory  Agency for Electronic Communications and Postal Services (RATEL),9155664,,Regulatory  Agency for Electronic Communications and Postal Services (RATEL),9094447,,Regulatory Agency for Electronic Communications and Postal Services,8621771,,Regulatory Agency for Electronic Communications and Postal Services,8431365,,Regulatory Agency for Electronic Communications and Postal Services,8453887,,Regulatory Agency for Electronic Communications and Postal Services,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Seychelles,25961,,Ministry of Information Technology and Communication.,36683,,Ministry of Information Technology and Communication.,44731,,Ministry of Information Technology and Communication.,49229,,Ministry of Information Technology and Communication.,54369,,Ministry of Information Technology and Communication.,58806,,Ministry of Information Technology and Communication.,70340,,Ministry of Information Technology and Communication.,77278,Sep 2007.,Ministry of Information Technology and Communication.,93476,Jan 2009.,Ministry of National Development.,110668,Jan 2010.,MInistry of National Development,117587,Jan 2011.,Vice President's Office Department of Information Communication Technology,126594,,Vice President's Office Department of Information Communication Technology,136480,,Office of the President; Department of Information Communications Technology,136790,,Office of the President; Department of Information Communications Technology,151336,,Office of the President; Department of Information Communications Technology,148244,,Office of the President; Department of Information Communications Technology,151857,,Office of  the Vice President; Department of Information Communication Technology,167282,,Office of  the Vice President; Department of Information Communication Technology,178946,,Office of  the Vice President; Department of Information Communication Technology,193672,,Office of  the Vice President; Department of Information Communication Technology,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Sierra Leone,11940,,Sierra Leone Telecommunications Company (SIERRATEL).,26895,,Sierra Leone Telecommunications Company (SIERRATEL).,67000,,Sierra Leone Telecommunications Company (SIERRATEL).,113214,,ITU estimate.,,,,,,,,,,776000,,ITU estimate.,1008800,,Sierra Leone Telecommunications Company (SIERRATEL).,1160000,,ITU estimate.,2000000,Feb 2011. This includes multiple subscriptions by single individuals,National Telecommunications Commission,2137000,,ITU estimate.,2210000,,ITU estimate.,4000000,,ITU estimate.,4756800,,ITU estimate.,5657000,,ITU estimate.,6279270,,ITU estimate.,6625000,,National Telecommunications Commission,6355151,,National Telecommunications Commission,6729804,,National Telecommunications Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Singapore,2747400,,Infocomm Development Authority of Singapore (IDA).,2991600,,Infocomm Development Authority of Singapore (IDA).,3313000,,Infocomm Development Authority of Singapore (IDA).,3577000,,Infocomm Development Authority of Singapore (IDA).,3990700,Dec.,Infocomm Development Authority of Singapore (IDA).,4384600,,Infocomm Development Authority of Singapore (IDA).,4788600,,Infocomm Development Authority of Singapore (IDA).,5924100,No differentiation between active and non-active subscriptions.,Infocomm Development Authority of Singapore (IDA).,6414800,No differentiation between active and non-active subscriptions.,Infocomm Development Authority of Singapore (IDA).,6884800,No differentiation between active and non-active subscriptions.,Infocomm Development Authority of Singapore,7384600,No differentiation between active and non-active subscriptions.,Infocomm Development Authority of Singapore,7794300,No differentiation between active and non-active subscriptions.,Infocomm Development Authority of Singapore,8067600,No differentiation between active and non-active subscriptions.,Infocomm Development Authority of Singapore,8438100,No differentiation between active and non-active subscriptions.,Infocomm Development Authority of Singapore,8103800,Decline was due to the regulatory controls on prepaid SIM cards which restricts each end user to hold no more than 3 prepaid cards.,Infocomm Development Authority of Singapore,8233100,Data as at end Mar 2016,Infocomm Development Authority of Singapore,8460700,Data is as at Mar 2017,Infocomm Media Development Authority,8381900,Data is as at end Mar 2018,Infocomm Media Development Authority,8568400,Data is as at end Mar 2019,Infocomm Media Development Authority,9034300,Data is as at end Mar 2020,Infocomm Media Development Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Slovakia,1243736,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,2147331,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,2923383,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,3678774,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,4275164,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,4540374,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,4893232,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,6068063,No distinction made between active or non-active subscribers.,Ministry of Transport; Posts and Telecommunications.,5520043,Break in comparability from 01.01.2008; only active mobile subscribers are counted. Active subscribers are those that have used at least one payable service in the last 90 days.,Ministry of Transport; Posts and Telecommunications.,5497719,,Ministry of Transport; Posts and Telecommunications.,5925012,,Ministry of Transport; Construction and Regional Development of the Slovak Republic,5983059,,Ministry of Transport; Construction and Regional Development of the Slovak Republic,6094466,,Ministry of Transport; Construction and Regional Development of the Slovak Republic,6208412,,Ministry of Transport; Construction and Regional Development of the Slovak Republic,6378095,,Ministry of Transport; Construction and Regional Development of the Slovak Republic,6675553,,Ministry of Transport; Construction and Regional Development of the Slovak Republic,6989902,,Ministry of Transport and Construction of the Slovak Republic,7117753,,Ministry of Transport and Construction of the Slovak Republic,7241702,,Ministry of Transport and Construction of the Slovak Republic,7399534,,Ministry of Transport and Construction of the Slovak Republic,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Slovenia,1215601,,Ministry of Transport and Communications.,1470085,,Telecommunications; Broadcasting and Post Agency.,1667234,,Telecommunications; Broadcasting and Post Agency.,1739146,,Telecommunications; Broadcasting and Post Agency.,1848637,,Post and Electronic Communications Agency.,1759232,New methodology of active subscribers.,Post and Electronic Communications Agency.,1819572,,Post and Electronic Communications Agency.,1928412,,Post and Electronic Communications Agency.,2054899,,Post and Electronic Communications Agency.,2100435,,Post and Electronic Communications Agency.,2121950,,Post and Electronic Communications Agency of the Republic of Slovenia,2168548,,Post and Electronic Communications Agency of the Republic of Slovenia,2241160,,Agency for Communication Networks and Services of the Republic of Slovenia,2283573,,Agency for Communication Networks and Services of the Republic of Slovenia,2326386,,Agency for Communication Networks and Services of the Republic of Slovenia,2353926,,Agency for Communication Networks and Services of the Republic of Slovenia,2385757,,AKOS,2443172,,AKOS,2465857,,AKOS,2511979,,AKOS,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Solomon Islands,1151,,Solomon Telekom Company Ltd.,967,,Solomon Telekom Company Ltd.,999,,Solomon Telekom Company Ltd.,1060,,Solomon Telekom Company Ltd.,3000,,Solomon Telekom Company Ltd.,6000,,Solomon Telekom Company Ltd.,7000,,ITU estimate.,10900,Estimate based on Pacific Economic Survey 2008.,ITU estimate.,30000,,ITU estimate.,50000,,ITU estimate.,115500,,Telecommunications Commission of the Solomon Islands,274872,,Telecommunications Commission of the Solomon Islands,302147,,Telecommunications Commission of the Solomon Islands,323105,,Telecommunications Commission of the Solomon Islands,376696,,Telecommunications Commission of the Solomon Islands,424712,,Telecommunications Commission of the Solomon Islands,416572,,Telecommunications Commission of the Solomon Islands,465331,,Telecommunications Commission Solomon Islands,482029,,Telecommunications Commission Solomon Islands,478116,include prepaid and postpaid,Telecommunications Commission Solomon Islands,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Somalia,80000,,Ministry of Posts and Telecommunications.,85000,,Ministry of Posts and Telecommunications.,100000,,Ministry of Posts and Telecommunications.,200000,,ITU estimate.,500000,,Ministry of Posts and Telecommunications.,500000,,Ministry of Posts and Telecommunications.,550000,,ITU estimate.,600000,,ITU estimate.,627000,,ITU estimate.,641000,,ITU estimate.,648200,,ITU estimate.,1800000,,Ministry of Information; Posts and Telecommunications,2300000,,ITU estimate.,5183000,,Ministry of Information; Posts and Telecommunications,5500000,,Ministry of Posts and Telecommunications,5836000,,ITU estimate.,6653040,,National Communication Authority (NCA),7119000,,National Communications Authority,7653040,,National Communications Authority,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,South Africa,8339000,,Telkom SA Limited (Telkom).,10787000,,Independent Communications Authority of South Africa (ICASA).,13702000,,Independent Communications Authority of South Africa (ICASA).,16860000,,Independent Communications Authority of South Africa (ICASA).,20839000,,Independent Communications Authority of South Africa (ICASA).,33959958,,Independent Communications Authority of South Africa (ICASA).,39662000,,Independent Communications Authority of South Africa (ICASA).,42300000,Estimation based on Annual Reports of Vodacom;  MTN and Cell C.,Independent Communications Authority of South Africa (ICASA).,45000000,,Independent Communications Authority of South Africa (ICASA).,46436000,,ITU estimate.,50372000,,ICASA based on Business Monitor International.,64000000,,ITU estimate.,68394000,,ITU estimate.,76865278,,Independent Communications Authority of South Africa,79280731,,Independent Communications Authority of South Africa,87999492,This number is different from the one provided during short questionnaire because we had a good response rate from licensees.,Independent Communications Authority of South Africa,82412880,,Independent Communication Authority of South Africa,88497610,,Independent Communication Authority of South Africa,92427958,,Independent Communication Authority of South Africa,96972459,,Independent Communication Authority of South Africa,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000,Total of five operators,Ministry of Telecommunications & Postal Services,1800000,Total of five operators: ; VIVACELL;GEMTEL;ZAIN;MTN;SUDANI,Ministry of Telecommunications & Postal Services,2300000,4 operators,Ministry of Telecommunications & Postal Services,2853228,4 operators,Ministry of Telecommunications & Postal Services,2876097,4 operators,Ministry of Telecommunications & Postal Services,2899000,,ITU estimate.,2700000,,National Communication Authority; NCA,2788933,,National Communication Authority; NCA,1916255,both Zain and MTN aggregated,National Communication Authority; NCA,2221967,,National Communication Authority; NCA,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Spain,24265059,,Telefónica de España; S.A. Ministerio de Ciencia y Technología.,29655729,,Telefónica de España; S.A. Ministerio de Ciencia y Technología.,33530997,,Comisión del Mercado de las Telecomunicaciones (CMT).,37219839,,Comisión del Mercado de las Telecomunicaciones (CMT).,38622582,,Comisión del Mercado de las Telecomunicaciones (CMT).,42694115,,Comisión del Mercado de las Telecomunicaciones (CMT).,45695061,,Comisión del Mercado de las Telecomunicaciones (CMT).,48422470,,Comisión del Mercado de las Telecomunicaciones (CMT).,49623339,,Comisión del Mercado de las Telecomunicaciones,51052693,,Comisión del Mercado de las Telecomunicaciones,51389417,,Comisión del Mercado de las Telecomunicaciones,52590507,,Comisión del Mercado de las Telecomunicaciones,50665099,,Comisión del Mercado de las Telecomunicaciones,50158689,,Comisión Nacional de los Mercados y la Competencia,50806251,,Comisión Nacional de los Mercados y la Competencia,51067770,,Comisión Nacional de los Mercados y la Competencia,51521507,,Comisión Nacional de los Mercados y la Competencia,52506928,,Comisión Nacional de los Mercados y la Competencia,54161014,,Comisión Nacional de los Mercados y la Competencia,55354944,,Comisión Nacional de los Mercados y la Competencia,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Sri Lanka,430202,,,667662,,,931403,,,1393403,,,2211158,,,3361775,,,5412496,,,7983489,,Telecommunications Regulatory Commission of Sri Lanka.,11082454,,Telecommunications Regulatory Commission of Sri Lanka.,16305417,,Telecommunications Regulatory Commission of Sri Lanka,17359312,,Telecommunications Regulatory Commission of Sri Lanka,18319447,,Telecommunications Regulatory Commission of Sri Lanka,19332844,,Telecommunications Regulatory Commission of Sri Lanka,20315150,,Telecommunications Regulatory Commission of Sri Lanka,22123000,,Telecommunications Regulatory Commission of Sri Lanka,23899642,,Telecommunications Regulatory Commission of Sri Lanka,25797199,,Telecommunications Regulatory Commission of Sri Lanka,28199083,Telecommunications Regulatory Commission of Sri Lanka,Telecommunications Regulatory Commission of Sri Lanka,30282984,,Telecommunications Regulatory Commission of Sri Lanka,30778582,,Telecommunications Regulatory Commission of Sri Lanka,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,St. Helena,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,Cable & Wireless South Atlantic Ltd,0,,Cable & Wireless South Atlantic Ltd,0,,,0,,,0,,,0,,Cable & Wireless South Atlantic Ltd.,0,,Sure South Atlantic Ltd.,0,,Sure South Atlantic Ltd.,1267,,Sure South Atlantic Ltd.,2499,,Sure South Atlantic Ltd.,4000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,St. Maarten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68840,,GSMA.,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,St. Pierre & Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Sudan,23000,Canar counted as fixed line.,ITU estimate: Without Canar.,103846,Canar counted as fixed line.,ITU estimate: Without Canar.,190778,Canar counted as fixed line.,ITU estimate: Without Canar.,527233,Canar counted as fixed line.,,1048558,Canar counted as fixed line.,,1827940,Canar counted as fixed line.,ITU estimate: Without Canar.,4683127,Canar counted as fixed line.,NTC.,8218092,Canar counted as fixed line.,National Telecommunication Corporation (NTC).,11991469,Canar counted as fixed line.,National Telecommunication Corporation (NTC).,15339895,,National Telecommunication Corporation (NTC).,18093231,,National Telecommunication Corporation (NTC),25056185,,National Telecommunication Corporation (NTC),27658595,,National Telecommunication Corporation (NTC),27657875,,National Telecommunication Corporation (NTC),27796611,,National Telecommunication Corporation (NTC),27938507,,National Telecommunication Corporation (NTC),27807293,,Telecommunication and Post Regulatory Authority,28644139,,Telecommunication and Post Regulatory Authority,30100412,,Telecommunication and Post Regulatory Authority,33014160,,Telecommunication and Post Regulatory Authority,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Suriname,41048,,,87000,,,108363,,,168522,,,212819,,,232785,,,320000,,,380000,,ITU estimate.,657106,,ITU estimate.,763912,,Telecommunications Authority Suriname.,521166,,Telecommunications Authority Suriname (TAS),533522,,Telecommunications Authority Suriname (TAS),569069,,Telecommunications Authority Suriname (TAS),868600,,Telecommunications Authority Suriname (TAS),927800,,ITU estimate.,750458,,Telecommunications Authority Suriname (TAS),806881,,Telecommunication Authority Suriname,795871,,Telecommunication Authority Suriname,752270,,Telecommunication Authority Suriname,813844,,Telecommunication Authority Suriname,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Sweden,6372300,,Swedish Institute for Transport and Communications Analysis.,7178000,,Swedish Institute for Transport and Communications Analysis.,7949000,,Swedish Institute for Transport and Communications Analysis.,8801000,,Swedish Institute for Transport and Communications Analysis.,8785000,June.,Swedish Institute for Transport and Communications Analysis.,9104000,,Swedish Institute for Transport and Communications Analysis.,9607000,,Swedish Institute for Transport and Communications Analysis.,10116852,,Swedish Institute for Transport and Communications Analysis.,10014000,,Swedish Post and Telecom Agency (PTS).,10440000,,Swedish Post and Telecom Agency (PTS).,10992407,,Swedish Post and Telecom Agency (PTS).,11454252,,Swedish Post and Telecom Agency (PTS).,11848449,,Swedish Post and Telecom Authority,12014368,,Swedish Post and Telecom Authority,12312533,,Swedish Post and Telecom Authority,12638827,,Swedish Post and Telecom Authority,12543188,,Swedish Post and Telecom Authority,12519313,,Swedish Post and Telecom Authority (PTS),12626282,,Swedish Post and Telecom Authority (PTS),12895854,,Swedish Post and Telecom Authority (PTS),,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Switzerland,4638519,,OFCOM.,5275791,,OFCOM.,5736303,,OFCOM.,6189000,,OFCOM.,6274763,,OFCOM.,6834233,,OFCOM.,7436157,,OFCOM.,8208884,,OFCOM.,8896706,,Estimate from OFCOM.,9322580,,Office Fédéral de la Communication,9644157,,Office Fédéral de la Communication,10082636,,Office Fédéral de la Communication,10561075,,Office Fédéral de la Communication,11048637,Provisional data.,Office Fédéral de la Communication,11150000,Estimates.,Office Fédéral de la Communication,11243210,Estimates.,Office Fédéral de la Communication,11242105,,OFCOM,11088598,Telecommunications statistics 2017,Office Fédéral de la Communication,10788602,Telecommunications statistics 2018,Office Fédéral de la Communication,10829031,Telecommunications statistics 2019 / provisory results,Office Fédéral de la Communication,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Syrian Arab Republic,30000,,STE estimate.,200000,,Syrian Telecommunications Establishment (STE).,400000,,Syrian Telecommunications Establishment (STE).,1185000,,Syrian Telecommunications Establishment (STE).,2346000,,Syrian Telecommunications Establishment (STE).,2950000,,Syrian Telecommunications Establishment (STE).,4675000,,Syrian Telecommunications Establishment (STE).,6234682,,Syrian Telecommunications Establishment (STE).,7056158,,Syrian Telecommunications Establishment (STE).,10021861,,Syrian Telecommunication Establishment,11696000,,Syrian Telecommunication Regulatory Authority,12917000,,Syrian Telecommunication Regulatory Authority,12980000,,Syrian Telecommunication Regulatory Authority,12291150,,Syrian Telecommunication Regulatory Authority,14039749,,Syrian Telecommunication Regulatory Authority,14312271,,Syrian Telecommunication Regulatory Authority,13349860,,SyTRA,15386000,,SYTPRA,17129676,,SYTPRA,19387604,,SYTPRA,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,"Taiwan, Province of China",17873829,,Directorate General of Telecommunications (DGT).,21786384,Including PHS subscriptions.,Directorate General of Telecommunications (DGT).,24390520,Including PHS subscriptions.,Directorate General of Telecommunications (DGT).,25799839,Including PHS subscribers.,Directorate General of Telecommunications (DGT).,22760144,Including PHS subscriptions.. Decline due to inactive prepaid accounts.,Directorate General of Telecommunications (DGT).,22170702,Including PHS subscriptions.,National Communications Commission (NCC).,23249262,Including PHS subscriptions.,National Communications Commission (NCC).,24286961,Including PHS subscriptions.,National Communications Commission (NCC).,25412514,,National Communications Commission (NCC).,26958772,,National Communications Commission (NCC).,27839527,,National Communications Commission,28865331,,National Communications Commission,29455219,,National Communications Commission,29709670,,National Communications Commission,30358368,,National Communications Commission,29681490,,National Communications Commission,29244328,,National Communications Commission,28777408,,National Communications Commission,29340886,,National Communications Commission,29291467,,National Communications Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Tajikistan,1160,,,1630,,,13200,,,47617,,,135000,,,265000,,,2150000,,,2132770,,Tajiktelecom.,3673520,,RCC.,4900000,,ITU estimate.,5940842,,Communication Service under the Government of the Republic of Tajikistan,6324000,,ITU estimate.,6528000,,ITU estimate.,7537100,,ITU estimate.,7999100,,ITU estimate.,8489000,,ITU estimate.,9400000,,ITU estimate.,9904000,,ITU estimate.,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Tanzania,110518,,Tanzania Telecommunications Company Ltd (TTCL).,275560,,Tanzania Telecommunications Company Ltd (TTCL).,606859,,Tanzania Telecommunications Company Ltd (TTCL).,1298000,,Tanzania Communications Regulatory Authority.,1942000,,Tanzania Communications Regulatory Authority.,2964000,,Tanzania Communications Regulatory Authority.,5609000,,Tanzania Communications Regulatory Authority.,8252000,,Tanzania Communications Regulatory Authority.,13006793,June.,Tanzania Communications Regulatory Authority.,17469486,,Tanzania Communications Regulatory Authority.,20983853,,Tanzania Communications Regulatory Authority (TCRA),25666455,,Tanzania Communications Regulatory Authority (TCRA),27219283,,Tanzania Communications Regulatory Authority (TCRA),27442823,,Tanzania Communications Regulatory Authority (TCRA),31862656,;,Tanzania Communications Regulatory Authority (TCRA),39665600,,Tanzania Communications Regulatory Authority (TCRA),40044186,,Tanzania Communications Regulatory Authority (TCRA),39953860,,Tanzania Communications Regulatory Authority (TCRA),43497261,,Tanzania Communications Regulatory Authority (TCRA),47685232,,Tanzania Communications Regulatory Authority (TCRA),,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Thailand,3056000,,,7550000,,,17449890,,ITU research based on NBTC website.,21616910,,ITU research based on NBTC website.,26965548,,ITU research based on NBTC website.,30460238,,ITU research based on NBTC website.,40125470,,ITU research based on NBTC website.,52973994,,Ministry of Information and Communication Technology,61837164,,Ministry of Information and Communication Technology,65952313,,Ministry of Information and Communication Technology,71726300,,Ministry of Information and Communication Technology,77449000,,Ministry of Information and Communication Technology,85012000,,Ministry of Information and Communication Technology,93849000,,Ministry of Information and Communication Technology,97096000,,Ministry of Information and Communication Technology,102942000,NBTC,Ministry of Information and Communication Technology,119669000,NBTC,The National Broadcasting and Telecommunications Commission,121530000,NBTC,Office of the National Broadcasting and Telecommunications Commission,125098000,NBTC,Office of the National Broadcasting and Telecommunications Commission,129614000,NBTC,Office of the National Broadcasting and Telecommunications Commission,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Timor-Leste,,,,,,,,,,20058,,Communication Regulatory Authority.,25722,,Communication Regulatory Authority.,33072,,Communication Regulatory Authority.,49100,,ITU estimate.,78215,Refers to mid-year.,Communication Regulatory Authority.,125002,,Communication Regulatory Authority,350891,,Communication Regulatory Authority,473020,,ITU research based on Timor Telecom website.,614151,,Communication Regulatory Authority,621000,,ITU estimate.,650000,,ITU estimate.,1375749,,National Communications Authority,1376669,,National Communications Authority,1492124,,Autoridade Nacional de Comunicações,1556624,,Autoridade Nacional de Comunicações,1468493,"1,468,493.00",Autoridade Nacional de Comunicações,1425256,1'425'256.00,Autoridade Nacional de Comunicações,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Togo,50000,,Société des Télécommunications du Togo (Togo Telecom).,95000,,Société des Télécommunications du Togo (Togo Telecom).,165138,,ART&P.,243613,,ART&P.,332565,,ART&P.,433635,,ART&P.,708000,,ART&P.,1190319,,ART&P.,1549542,,ART&P.,2187334,,ART&P.,2602283,Abonnés GSM + Abonnés CDMA,Autorité de Règlementation des secteurs de Postes et Télécommunications,2695335,Abonnés GSM actifs + Abonnés CDMA,Autorité de Règlementation des secteurs de Postes et Télécommunications,3312239,Abonnés GSM actifs + Abonnés CDMA,Autorité de Règlementation des secteurs de Postes et Télécommunications,4262993,Abonnés GSM actifs + Abonnés CDMA,Autorité de Règlementation des secteurs de Postes et Télécommunications,4516114,,Autorité de Règlementation des secteurs de Postes et de Télécommunications,4855206,,Autorité de Règlementation des secteurs de Postes et de Télécommunications,5505424,,Autorité de Règlementation des secteurs de Postes et de Télécommunications,6069905,,Autorité de Règlementation des secteurs de Postes et de Télécommunications,6144507,,Autorité de Règlementation des secteurs de Postes et de Télécommunications,6239183,,Autorité de Règlementation des secteurs de Postes et de Télécommunications,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Tokelau,0,,,0,,,,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile-cellular telephone subscriptions;  by postpaid/prepaid,Tonga,180,,ITU estimate.,236,,ITU estimate.,3354,,ITU estimate.,11200,,ITU estimate.,16400,,ITU estimate.,29872,,ITU estimate.,30051,,ITU estimate.,46525,,Prime Ministers Office,50472,,Prime Ministers Office,53000,,ITU estimate.,54300,,ITU estimate.,55000,,Ministry of Information and Communication,56000,,ITU estimate.,57500,,ITU estimate.,68000,Preliminary data,Ministry of Meteorology; Energy; Information; Disaster Management; Environment and Climate Change; Communication (MEIDECC),73493,,Ministry of Meteorology; Energy; Information; Disaster Management; Environment and Climate Change; Communication (MEIDECC),80000,,MEIDECC,107938,,MEIDECC,107938,,MEIDECC,62104,,Ministry of Meteorology; Energy; Information; Disaster Management; Environment and Climate Change; Communication (MEIDECC),,
