Country,Type,Title of Legislation/Draft Legislation,Links to laws,data_country,data_year
Kyrgyzstan,Legislation,Personal Data No.58/2008 ,https://www.legislationline.org/download/id/4220/file/Kyrgyz_Law_personal_data_2008_EN.pdf,,
Lao People's Democratic Republic,Legislation,Law on Electronic Data Protection (In Laocian),https://laoofficialgazette.gov.la/kcfinder/upload/files/0918570.pdf,,
Latvia,Legislation,Personal Data Processing Law,https://likumi.lv/ta/en/en/id/300099-personal-data-processing-law,,
Latvia,Legislation,Amendments to the Electronic Communications Law - point 2 (In Latvian),https://www.vestnesis.lv/op/2020/21.1,,
Lebanon,Legislation,Law No. 81 Relating to Electronic Transactions and Personal Data,https://cyrilla.org/api/files/1588765194459b2ei80i27m.pdf,,
Lesotho,Legislation,Data Protection Act No. 19 2012 (In English),http://www.nic.ls/lsnic/community/policies/Data_Protection_Act_2011_Lesotho.pdf,,
Liechtenstein,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Liechtenstein,Legislation,"Gesetz über die Abänderung des Datenschutzgesetzes, 2002 (in German)",http://www.wipo.int/edocs/lexdocs/laws/de/li/li069de.pdf,,
Lithuania,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Lithuania,Legislation,Law on Legal Protection of Personal
Data (in English),http://www.wipo.int/wipolex/en/text.jsp?file_id=202094,,
Luxembourg,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Luxembourg,Legislation,Data Protection Law (in French),http://legilux.public.lu/eli/etat/leg/loi/2002/08/02/n2/jo,,
Madagascar,Legislation,Law No. 38/2014 Protection of personal data (in French),http://www.afapdp.org/wp-content/uploads/2015/01/Madagascar-L-2014-038-du-09-01-15-sur-la-protection-des-donn%C3%A9es-%C3%A0-caract%C3%A8re-personnel.pdf,,
Malawi,Draft Legislation,Bill - Data Protection Act ,,,
Malaysia,Legislation,Personal Data Protection Act 2010 (in English),http://www.kkmm.gov.my/pdf/Personal%20Data%20Protection%20Act%202010.pdf,,
Maldives,Draft Legislation,Bill - Law coming on Q3 2020,,,
Mali,Legislation,Lois sur la protection des données à caractère personnel - Loi n° 2013-015 du 21 mai 2013 (in French),http://www.afapdp.org/wp-content/uploads/2012/01/Mali-Loi-sur-la-protection-des-donn%C3%A9es-personnelles-du-21-mai-2013.pdf,,
Malta,Legislation,The General Data Protection Regulation (Regulation (EU) 2016/679) (GDPR),https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R0679,,
Mauritania,Legislation,Loi 2017-020 sur la protection des données à caractère personnel,https://www.ohchr.org/Documents/Issues/Opinion/ContentRegulation/Mauritania_2.pdf,,
Mauritius,Legislation,Data Protection Act No. 20/2017 (in English),https://www.ilo.org/dyn/natlex/docs/ELECTRONIC/108724/134563/F686980207/MUS108724.pdf,,
Mexico,Legislation,Ley General de Protección de Datos Personales en posesión de sujetos obligados (In Spanish),http://www.diputados.gob.mx/LeyesBiblio/pdf/LGPDPPSO.pdf,,
Mexico,Legislation,Ley Federal de Protección de Datos Personales en Posesión de los Particulares 2010 (in Spanish),http://www.diputados.gob.mx/LeyesBiblio/pdf/LFPDPPP.pdf,,
Monaco,Legislation,"Loi No. 1.165/1996 consolidée par la loi No.1,462/2018",https://journaldemonaco.gouv.mc/Journaux/2018/Journal-8389/Loi-n-1.462-du-28-juin-2018-renforcant-le-dispositif-de-lutte-contre-le-blanchiment-de-capitaux-le-financement-du-terrorisme-et-la-corruption,,
Mongolia,Legislation,"Law on information transparency and right to information, 2011 (updated in 2015)",https://www.iaac.mn/old/pdf/law_en/6_law_on_the_information_transparency_and_right_to_information.pdf,,
Montenegro,Legislation," Law on Protection of Personal Data No. 79/2009, 70/2009, 44/2012, 22/2017",http://www.afapdp.org/wp-content/uploads/2012/01/Mont%C3%A9n%C3%A9gro-Personal-Data-Protection-Law-79-08-and-70-09.pdf,,
Morocco,Legislation,Law No. 09-08/2009 on the protection of people toward data protection of a personal nature,https://www.dgssi.gov.ma/sites/default/files/attached_files/loi_09-08protection_donnees_personnelles.pdf,,
Myanmar,Draft Legislation,Bill -  Cyber Security Law and privacy and data protection ,,,
Namibia,Draft Legislation,Bill - Electronic Transaction Act of 2019,https://laws.parliament.na/cms_documents/electronic-transactions-e6007fa08d.pdf,,
