ISO alpha-3,Country,Region,Year,Index,Authorisation,Consumer Protection,KYC,Transaction Limits,Agent Network,Infrastructure and Investment environment,Eligibility,Authorisation Instruments,Capital Requirements,International Remittances,Safeguarding of Funds,Consumer Protection Rules,Deposit Insurance,Permitted Identifications,KYC Requirements,KYC Proportionality,Entry-level transaction limits,Entry-level monthly limits,Entry-level balance limits,Maximum transaction limits,Maximum monthly limits,Maximum balance limits,Agent Eligibility,Agent Authorisation,Agent Activities,Agent Liability,Affordability,ID Verification Infrastructure,Interoperability,Settlement Access,Interest Payments,Financial Inclusion Strategy,Data Sovereignty,Gender Equality,data_country,data_year
BDI,Burundi,Sub-Saharan Africa,2019,88.90,100.00,80.00,92.00,100.00,94.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,,,,
BDI,Burundi,Sub-Saharan Africa,2020,88.90,100.00,80.00,92.00,100.00,94.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,,,,
BDI,Burundi,Sub-Saharan Africa,2021,88.90,100.00,80.00,92.00,100.00,94.00,60.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,80.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,100.00,,,,
KHM,Cambodia,East Asia and Pacific,2018,78.47,100.00,72.00,32.00,100.00,100.00,52.50,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,0.00,,,,
KHM,Cambodia,East Asia and Pacific,2019,79.88,100.00,72.00,32.00,100.00,100.00,61.88,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,,,,
KHM,Cambodia,East Asia and Pacific,2020,79.88,100.00,72.00,32.00,100.00,100.00,61.88,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,,,,
KHM,Cambodia,East Asia and Pacific,2021,79.88,100.00,72.00,32.00,100.00,100.00,61.88,100.00,100.00,100.00,100.00,100.00,80.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,70.00,75.00,,,,
CMR,Cameroon,Sub-Saharan Africa,2018,71.10,84.00,64.00,32.00,100.00,90.00,48.00,60.00,100.00,100.00,100.00,100.00,60.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,100.00,0.00,100.00,100.00,30.00,0.00,0.00,0.00,,
CMR,Cameroon,Sub-Saharan Africa,2019,76.60,100.00,80.00,32.00,100.00,94.00,38.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,0.00,30.00,0.00,0.00,0.00,,
CMR,Cameroon,Sub-Saharan Africa,2020,78.10,100.00,80.00,32.00,100.00,94.00,48.00,100.00,100.00,100.00,100.00,100.00,100.00,0.00,0.00,80.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,80.00,100.00,100.00,0.00,100.00,100.00,30.00,0.00,0.00,0.00,,
