 15.6 , 17.1 , 18.4 , 20.6 , 22.6 , 24.7 , 26.8 , 28.6 , 30.4 , 31.9 , 33.0 , 34.1 , 34.9 , 35.9 , 36.1 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 1.4 , 1.8 , 2.0 , 2.4 , 2.9 , 3.4 , 4.1 , 4.7 , 5.4 , 5.8 , 6.3 , 6.8 , 7.3 , 7.6 , 7.2 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 3.7 , 3.7 , 4.0 , 5.3 , 7.4 , 9.0 , 10.4 , 11.9 , 13.0 , 14.3 , 14.7 , 15.5 , 15.7 , 16.1 , 16.8 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020,,
 19.6 , 22.0 , 24.4 , 27.2 , 30.3 , 32.9 , 35.8 , 39.2 , 42.3 , 45.0 , 47.9 , 50.5 , 53.4 , 55.7 , 57.4 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 44.9 , 48.4 , 53.4 , 58.1 , 62.6 , 66.3 , 69.7 , 73.1 , 77.5 , 78.9 , 80.1 , 81.3 , 83.1 , 84.5 , 85.2 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
 9.0 , 11.0 , 12.7 , 15.1 , 17.7 , 20.3 , 23.3 , 26.7 , 29.5 , 32.9 , 36.5 , 39.7 , 43.0 , 45.8 , 47.8 ,, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,,
