2015,2016,2017,Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type
,,89,NAM,Namibia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
6.5,3,,NER,Niger,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,137,144,NER,Niger,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
30.4,46,,NGA,Nigeria,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,100,80,NGA,Nigeria,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
20.7,23,,NIC,Nicaragua,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,114,122,NIC,Nicaragua,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
79.5,95.9,,NLD,Netherlands,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,15,4,NLD,Netherlands,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
87.1,96.39,,NOR,Norway,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,3,3,NOR,Norway,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
19.9,35,,NPL,Nepal,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,118,108,NPL,Nepal,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
82.9,93,,NZL,New Zealand,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,10,10,NZL,New Zealand,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
48.8,60,,OMN,Oman,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,65,64,OMN,Oman,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
27.7,24,,PAK,Pakistan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,105,120,PAK,Pakistan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
47.2,43,,PAN,Panama,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,68,84,PAN,Panama,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
43.1,41,,PER,Peru,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,76,94,PER,Peru,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
35.7,40,,PHL,Philippines,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,89,96,PHL,Philippines,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
65.2,78,,POL,Poland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,35,37,POL,Poland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
60.4,68,,PRT,Portugal,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,42,48,PRT,Portugal,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
43.8,41,,PRY,Paraguay,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,74,93,PRY,Paraguay,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
72.4,62,,QAT,Qatar,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,26,58,QAT,Qatar,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
55,69,,ROU,Romania,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,53,45,ROU,Romania,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
57.6,71,,RUS,Russian Federation,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,47,43,RUS,Russian Federation,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
19.9,37,,RWA,Rwanda,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,117,99,RWA,Rwanda,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
52.2,69,,SAU,Saudi Arabia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,56,46,SAU,Saudi Arabia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
12.4,15,,SDN,Sudan,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,132,137,SDN,Sudan,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
33.4,30,,SEN,Senegal,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,91,112,SEN,Senegal,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
75.8,90,,SGP,Singapore,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,23,18,SGP,Singapore,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
14.3,16,,SLE,Sierra Leone,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,128,136,SLE,Sierra Leone,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
31.7,49,,SLV,El Salvador,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,96,76,SLV,El Salvador,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
55.9,73,,SRB,Serbia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,52,41,SRB,Serbia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
68.2,82,,SVK,Slovak Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,31,30,SVK,Slovak Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
71.9,87,,SVN,Slovenia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,28,25,SVN,Slovenia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
81.4,94.6,,SWE,Sweden,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,13,7,SWE,Sweden,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
26.8,29,,SWZ,Swaziland,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,106,114,SWZ,Swaziland,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,21,,SYR,Syrian Arab Republic,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,127,SYR,Syrian Arab Republic,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
,6,,TCD,Chad,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,,143,TCD,Chad,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
18.4,32,,TGO,Togo,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,120,111,TGO,Togo,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
47.2,68,,THA,Thailand,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,69,49,THA,Thailand,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
47.5,,,TTO,Trinidad and Tobago,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,67,,TTO,Trinidad and Tobago,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
44.5,47,,TUN,Tunisia,24717,Country rank and value in the UNCTAD B2C E-commerce Index,Value
,73,79,TUN,Tunisia,24718,Country rank and value in the UNCTAD B2C E-commerce Index,Rank
