Legal Enablers to ID,,Country Characteristics,Legal System Type,Foundational Civil Identification Law,Data Protection Laws & Privacy Bills,Freedom in the World (2018),Freedom on the Net (2017),Freedom in the Press (2017),data_country,data_year
#,Economic Environment (0-30 points),Country Code,Legal System Type,Key Act / Bill,Key Act / Bill,Status,Status ,Press Freedom Status,Economic Environment (0-30 points),Economic Environment (0-30 points)
170,27,SWZ,civil + common,Identification Order 1998,-,NF,,NF,27,27
171,4,SWE,civil,"Law on Identity Cards, Art. 1",Personal Data Act,F,,F,4,4
172,5,CHE,civil,"Loi sur les Documents d'Identité, Arts. 1 et 2",Data Protection Act,F,,F,5,5
173,23,SYR,civil + religious,"ID Card Law, Art. 1",Draft Law on Privacy and Data Protection,NF,NF,NF,23,23
174,8,TWN,civil,-,Personal Data Protection Act,F,,F,8,8
175,26,TJK,civil,"Law No. 1097 of July 26, 2014 on Identity Documents, Arts. 6(2) and 13"," Law on Protection of Information (December 2, 2002, № 71)
",NF,,NF,26,26
176,15,TZA,common,"Registration and Identification of Persons Act 1986, as amended, Art. 10",Data Protection Bill,PF,,PF,15,15
177,17,THA,civil + common,"National Identification Act, Art. 7",Official Information Act 1997,NF,NF,NF,17,17
178,13,TLS,civil,"Decree-Law No. 2/2004, Civil Identification, Arts. 6, 18 and 19",Protection of Personal Data Bill,F,,PF,13,13
179,20,TGO,customary,Le Guide Juridique du Citoyen, L’avant-projet de loi sur les transactions électroniques,PF,,PF,20,20
180,10,TON,common,"National Identity Card Act, Sec. 7",none,F,,F,10,10
181,7,TTO,common,-,Data Protection Act,F,,F,7,7
182,18,TUN,civil + religious,"Loi No. 93-27 du 22 Mars 1993, Relative à la Carte Nationale d'Identité, Art. 3",Loi portant sur la protection des données à caractère personnel,F,PF,PF,18,18
183,16,TUR,civil,"Population Services Law, Art. 11",Regulation of Electronic Commerce Law,NF,NF,NF,16,16
184,30,TKM,civil,-,-,NF,,NF,30,30
185,13,TUV,common,-,-,F,,F,13,13
186,15,UGA,common,"The Registration of Persons Act, 2015, Arts. 68, 69 and schedule 3",Data Protection and Privacy Bill,PF,PF,PF,15,15
187,15,UKR,civil,"Resolution CM No. 185 of 13.03.2013, Procedure on Ukrainian Passports, Art. 21",Law on Personal Data Protection,PF,PF,PF,15,15
188,23,ARE,civil + religious,"Federal Law No. 9 of 2006, Art. 4",None,NF,NF,NF,23,23
189,7,GBR,common,-,Data Protection Act 1998,F,F,F,7,7
190,5,USA,common,-,Privacy Act of 1974,F,F,F,5,5
191,8,URY,civil,-,Law on the Protection of Personal Data,F,,F,8,8
192,28,UZB,civil,-,None,NF,NF,NF,28,28
193,8,VUT,civil + common,-,Electronic Transactions act,F,,F,8,8
194,24,VEN,civil,"Decreto No. 1412 Ley Orgánica de Identificación, Arts. 6, 16 y 17",None,NF,NF,NF,24,24
195,21,VNM,civil,"Decree No. 05/1999/ND-CP on the People's Identity Card, Arts. 2 and 3 ",Law on Protection of Consumers’ Rights,NF,NF,NF,21,21
196,23,YEM,common + customary + religious,"Law No. 23 for 1991 on Civil Status and Civil Registration, Art. 49",Law of the Right of Access to Information,NF,,NF,23,23
197,20,ZMB,common + customary,"National Registration Act, Cap 126, Art. 5"," The Electronic Communications and Transactions Act, Act Number 21 of 2009 - the Electronic Communications Act ",PF,PF,NF,20,20
198,25,ZWE,civil + common,-,Access to Information and Protection of Privacy Act,NF,PF,NF,25,25
,,,,,,,,,,
