Ascension,,Cable & Wireless plc. (C&W).,34.94,Data refer to 31st December.,38.17,Cable & Wireless,33.00,Cable & Wireless South Atlantic Ltd,35.00,36.00,ITU estimate.,41.03,data_country,data_year
Lao P.D.R.,,,0.11,,0.18,National Authority of Post and Telecommunication,6.00,Ministry of Posts and Telecommunications ,7.00,9.00,ITU estimate.,10.75,,
Latvia,88.90,Ministry of Transport.,6.32,,7.22,Eurostat.,66.84,Eurostat.,68.42,69.75,Eurostat.,73.12,88.90,88.90
Lebanon,,Lebanese Broadcasting International.,7.95,,6.78,ITU estimate.,30.14,Presidency of the Council of Ministers,43.68,52.00,ITU estimate.,61.25,,
Lesotho,,Telecomm Lesotho (TCL).,0.21,,0.26,Lesotho Telecommunications Authority,3.72,ITU estimate.,3.86,7.00,ITU estimate.,10.00,,
Liberia,,,0.02,,0.03,ITU estimate.,2.00,ITU estimate.,2.30,2.50,ITU estimate.,2.60,,
Libya,,Ministry of Transport and Communications.,0.19,,0.37,ITU estimate.,10.80,ITU estimate.,14.00,14.00,,,,
Liechtenstein,,,36.52,,45.12,ITU estimate.,75.00,Office for Communications,80.00,85.00,ITU estimate.,89.41,,
Lithuania,,Lithuanian Telecom.,6.43,,7.18,Eurostat.,59.76,Eurostat.,62.12,63.64,Eurostat.,67.23,,
Luxembourg,,ILRES.,22.89,Population age 12+.,36.16,Eurostat.,87.31,Eurostat.,90.62,90.03,Eurostat.,91.95,,
"Macao, China",,Estimated by DSTR.,13.61,,22.52,Statistics and Census Service,54.00,Statisitics and Census Service,55.20,60.20,Statistics and Census Service,61.31,,
Madagascar,,,0.20,,0.22,ITU estimate.,1.63,ITU estimate.,1.70,1.90,ITU estimate.,2.30,,
Malawi,,,0.13,,0.16,Malawi Communications Regulatory Authority,1.07,"Malawi Communications Regulatory Authority
",2.26,3.33,ITU estimate.,4.35,,
Malaysia,,PIKOM.,21.38,,26.70,Malaysian Communications and Multimedia Malaysia,55.90,Malaysian Communications and Multimedia Commission,56.30,61.00,Malaysian Communications and Multimedia Commission,65.80,,
Maldives,,Dhivehi Raajjey Ge Gulhun Private Limited (DHIRAAGU).,2.20,Country estimate based on the assumption that every connection (except leased lines) serves 4 users (average household size is 6) and a leased line serves 10 users. Excl. mobile Internet users.,3.62,Communications Authority of Maldives,24.80,ITU estimate. ,26.53,34.00,ITU estimate.,38.93,,
Mali,,,0.14,,0.19,ITU estimate.,1.80,Institut National de la Statistique (ex Direction Nationale de la Statistique et de l'Informatique),2.00,2.20,ITU estimate.,2.80,,
Malta,,Malta Communications Authority.,13.11,,17.88,Eurostat.,58.86,Eurostat.,63.00,68.02,Eurostat.,68.20,,
Marshall Islands,,National Telecommunications Authority.,1.53,,1.71,ITU estimate.,5.60,ITU estimate.,7.00,10.00,ITU estimate.,12.50,,
Martinique,,,7.79,,10.31,ITU estimate.,42.00,,,,,,,
Mauritania,,,0.19,,0.26,ITU estimate.,2.28,ITU estimate. ,4.00,4.50,ITU estimate.,5.00,,
Mauritius,,Mauritius Telecom.,7.28,,8.78,Information Communication Technologies Authority,22.51,ITU estimate.,28.33,34.95,Statistics Mauritius,35.42,,
Mayotte,,,1.21,,,,,,,,,,,
Mexico,,INEGI.,5.08,,7.04,Comisión Federal de Telecomunicaciones de México,26.34,INEGI,31.05,37.18,Instituto Nacional de Estadística y Geografía (INEGI),39.75,,
Micronesia,,,3.73,,4.66,"Department of Transportation, Communications and Infrastructure",15.35,ITU estimate.,20.00,22.80,ITU estimate.,25.97,,
Moldova,,,1.28,,1.49,ITU estimate.,27.50,National Regulatory Agency for Electronic Communications and Information Technology,32.30,38.00,ITU estimate.,43.37,,
Monaco,,,42.18,,46.65,Direction des Communications Electroniques,70.10,ITU estimate.,75.00,80.30,ITU estimate.,87.00,,
Mongolia,,,1.26,,1.65,ITU estimate based on survey results 2010 and previous data from Communications Regulatory Commission of Mongolia,10.00,National Statistical Office of Mongolia,10.20,12.50,National Statistical Office of Mongolia,16.40,,
Montenegro,,,,,,ITU estimate.,35.10,Statistical Office of Montenegro - MONSTAT,37.50,35.61,Statistical Office of Montenegro,56.84,,
Montserrat,,,,,,ITU estimate.,20.26,Statistics Department,35.00,54.55,,,,
Morocco,,Agence nationale de réglementation des télécommunications.,0.69,,1.37,Agence Nationale de Réglementation des Télécommunications,41.30,Agence Nationale de Réglementation des Télécommunications,52.00,46.11,AGENCE NATIONALE DE REGLEMENTATION DES TELECOMMUJNICATIONS,55.42,,
Mozambique,,Telecomunicaçoes de Moçambique (TDM).,0.11,,0.16,INCM,2.68,ITU estimate.,4.17,4.30,ITU estimate.,6.00,,
Myanmar,,,,,0.00,ITU estimate.,0.22,"Ministry of Communications, Posts and Telegraphs",0.25,0.98,ITU estimate.,4.00,,
Namibia,,Telecom Namibia.,1.64,,2.42,ITU estimate.,6.50,ITU estimate.,11.60,12.00,ITU estimate.,12.94,,
Nauru,,,,,2.99,,,"Nauru Bureau of Statistics
Government Ministry of Finance",,54.00,,,,
Nepal (Republic of),,Nepal Telecom.,0.20,December 2001.,0.24,Nepal Telecommunications Authority,1.97,Nepal Telecommunications Authority,7.93,9.00,ITU estimate.,11.15,,
Netherlands,,Independent Post and Telecommunications Authority (OPTA).,43.98,,49.37,Eurostat.,89.63,Eurostat.,90.72,91.42,Eurostat.,92.86,,
New Caledonia,,Office des postes et des télécommunications (OPT).,13.94,,18.24,Office des Postes et Télécommunications de Nouvelle-Calédonie,33.99,ITU estimate. ,42.00,50.00,ITU estimate.,58.00,,
New Zealand,,ITU estimate.,47.38,,53.24,Statistics New Zealand.,79.70,ITU estimates.,80.46,81.23,Statistics New Zealand,81.64,,
Nicaragua,,,0.98,,1.45,ITU estimate.,7.30,Instituto Nicaraguense de Telecomunicaciones y Correos,10.00,10.60,ITU estimate.,13.50,,
Niger,,,0.04,,0.11,Institut National de la Statistique,0.76,Institut National de la Statistique,0.83,0.90,ITU estimate.,1.05,,
Nigeria,,Nigerian Telecommunications Plc (NITEL).,0.06,,0.09,ITU estimate.,9.30,ITU estimate.,11.50,13.80,ITU estimate.,16.10,,
Niue,,,26.51,,32.66,ITU estimate.,74.48,ITU estimate.,76.97,79.56,,,,
