1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country Name,Country Code,Indicator Name,Indicator Code,data_country,data_year
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comoros,COM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072640002,,,,,,,,,,,Cabo Verde,CPV,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302210003,0.29569,0.265260011,0.36759001,0.411350012,,,0.361900002,0.372880012,,0.42693001,0.356550008,0.385930002,0.517180026,0.479900002,0.462350011,0.547129989,0.54253,0.556270003,0.436650008,0.443349987,0.425870001,0.371439993,,,,Costa Rica,CRI,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caribbean small states,CSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347359985,0.401719987,0.501240015,0.458319992,0.478650004,0.565299988,0.564450026,0.582430005,0.602310002,0.549199998,0.441390008,0.436150014,0.500609994,0.614849985,0.607670009,0.271919996,0.407160014,0.474669993,0.415960014,0.428539991,0.342229992,0.430660009,0.536909997,0.553080022,0.518379986,,Cuba,CUB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Curacao,CUW,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cayman Islands,CYM,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203309998,0.218060002,0.226899996,0.236939996,0.27967,0.318340003,0.335640013,0.367269993,0.383459985,0.400070012,0.385939986,0.444370002,0.444090009,0.453889996,0.438879997,0.486070007,0.513599992,0.476889998,0.522019982,0.544390023,0.615830004,0.714630008,0.822340012,,Cyprus,CYP,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.889119983,0.988189995,1.060220003,1.049569964,1.109969974,1.098709941,1.09818995,1.142099977,1.139350057,1.161000013,1.225419998,1.295719981,1.233579993,1.286560059,1.326699972,1.544770002,1.76967001,1.879240036,1.958330035,1.916890025,1.670029998,1.768550038,1.899449944,1.927729964,1.991039991,,Czechia,CZE,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.144609928,2.188319921,2.216130018,2.347790003,2.40982008,2.40437007,2.436219931,2.47461009,2.435189962,2.441930056,2.47232008,2.460479975,2.615129948,2.742660046,2.730240107,2.805550098,2.881659985,2.835989952,2.877840042,2.933789968,2.94039011,3.047100067,3.107880116,3.167700052,3.14425993,,Germany,DEU,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,
