198,DG Systems & Services,,Country Data,Digital Government,UN e-Gov Dev Index,DG Institution,DG Strategy,Whole of Government,GovTech,GovTech Products and Services,"Finance Ministry web site, Public Finance data, and FMIS links",Financial Management Information System,Treasury Single Account,Tax Administration,Customs Administration,e-Filing,e-Payment,Digital Signature,Public Employment,HRMIS,Payroll System,e-Procurement,Public Debt,Public Investment Management Systems,Aid Mgmt Systems,Other Categories,Data Governance Maturity,"Data Governance Institution, Policy & Regulations","Government Cloud, Enterprise Architecture and Interoperability Platform", National CERT or CSIRT,National website for citizen participation,National website for citizen feedback / GRM,Government responsiveness,Legal System Type,Data Protection & Privacy Laws,Data Protection Agency,Right to Information Law,WDR Survey Results,WJP Rule of Law Index,Freedom in the World (2020),Freedom on the Net (2019),Is there an Open Government initiative?,Is there an Open Data portal?,Disruptive Technologies,PS Digital Skills & Innovation Strategy,Digital Skills & Innovation,PS Digital Skills & Innovation Institution,Open Source Policies adopted by the governments,ID4D,Government Effectiveness,Control of Corruption,CPI,GTMI > Expert opinion for weights,Core Gov Systems,Public Services,Citizen Engage,GovTech Enablers,I-1,I-2,I-3,I-4,I-5,I-6,I-7,I-8,I-9,I-10,I-11,I-12,I-13,I-14,I-15,I-16,I-17,I-18,I-19,I-20,I-21,I-22,I-23,I-24,I-25,I-26,I-27,I-28,I-29,I-30,I-31,I-32,I-33,I-34,I-35,I-36,I-37,I-38,I-39,I-40,I-41,I-42,I-43,I-44,I-45,I-46,I-47,I-48,GovTech Index,Comparison with UN,No weight,Comparison with weights,Standardized,Comparison with Indicators,No Weights,Comparison of weights,OECD DG 2019,GTMI > Correlation of indicators (without standardization),GTI > Factor analysis (without standardization),GTMI Raw Scores > ,GTMI Standardized Z-Scores> ,GTC > Correlation analysis with Standardized Scores,GTF > Factor analysis with Standardized Scores,data_country,data_year
Group,#,GTI-4,Level,e-Government,eGov'20,DG Org URL,DG St,WoG,GT,e-Gov,MoF URL,FMIS / TS,Treasury website,Tax Adm URL,Customs URL,e-Filing URL,ePayment,Digital Sign URL,Public Emp,HRMIS Abbr,Payroll Abbr,eProc System,Debt Org / URL,PIM Unit URL,AMP,Region,Grp,Inst,GCL,Cyber,Part,GRM,Perf,Legal System Type,DPL,DPA,RTI,Cl Pol,RoL Score,Status,Status,OGI,ODP,DT,DSI,DSI,PSI,OSS,Nat ID,GE,CoC,CPI,Code,CGSI,PSDI,CEI,GTEI,GCL,GEA,GSB,FMIS,TSA,Tax,Cust,HRM,Payr,e-GP,Debt,PIMS,OSS,eTII,DT,eOSI,eSrv,TaxS,eFil Srv,ePay Srv,CusS,ePart'20,OGI,ODP,Part,Petit,Publ,Anym,Resp,GRM,Serv,Acce,Perf,GT,DaG,DGSt,WoG,RTI,DPL,DPA,NatID,e-ID,dSign,Cyber,eHCI,DSSt,DSI,PSI,GT0,Code,GT0,GTE,GTCs,GovTech,eGDI,GTE,Score,Code,Code,Code,Code,Code,Code,GTI-4,GTI-4
B,160,0.79,HIC,https://e-uprava.gov.si/en/o-e-upravi/o-eupravi-en.html,23,http://www.ukom.gov.si/en/,3,1,1,1,http://www.mf.gov.si,SAPPrA+MFERAC,http://www.ujp.gov.si/,http://www.fu.gov.si,http://www.fu.gov.si,http://edavki.durs.si/OpenPortal/Pages/FormProcedure/Intro.aspx,https://www.bsi.si/en/payments-and-infrastructure/payment-services-and-electronic-money/payment-services,http://www.sigen-ca.si/pridobitev_fizicni.php,"172,600",HRM,PS,ProcurementPortal,Ministry of Finance,http://www.mf.gov.si,,ECA,A,2,2,2,0,1,0,civil,2,2,2,-,0.69,3,-,0,2,1,2,1,2,2,1,0.72,0.68,60,SVN,0.90,0.70,0.37,0.96,0.05,0.20,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,0.08,0.01,0.07,-0.02,0.01,0.00,0.14,-0.01,0.07,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,0.10,0.13,-0.03,-0.02,0.03,0.16,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.10,0.13,0.10,0.11,0.73,SVN,B,A,0.741,Yes,0.855,0.759,0.51,SVN,SVN,SVN,SVN,SVN,SVN,0.79,0.79
C,161,-1.64,LMIC,http://www.mca.gov.sb/resources/national-policies/10-national-ict-policy/file.html,166,http://www.mca.gov.sb/,3,0,0,-,http://www.mof.gov.sb,FMIS,http://www.mof.gov.sb/AboutUs/TreasuryUnit.aspx,http://www.ird.gov.sb/Front/Front.aspx?ID=471,http://www.mof.gov.sb/AboutUs/CustomsDivision.aspx,https://etax.ird.gov.sb/,http://www.ird.gov.sb/Article.aspx?ID=616,-,"11,000",-,PS,MoF website,Ministry of Finance and Treasury,https://solomons.gov.sb/ministry-of-national-planning-and-development-coordination//,,EAP,D,0,0,0,0,0,0,common + customary,0,0,0,-,-,3,-,0,2,0,0,0,0,0,0,0.30,0.50,42,SLB,0.57,0.74,0.18,0.13,-0.03,-0.08,-0.07,0.02,0.01,0.07,0.02,-0.48,0.09,0.03,0.03,0.03,-0.05,-0.11,-0.03,-0.06,-0.02,0.01,0.03,0.14,-0.01,-0.06,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,-0.15,-0.04,-0.03,-0.91,-0.54,-0.09,-0.06,-0.08,-0.12,-0.12,-0.10,0.40,SLB,C,C,0.342,-,0.344,0.342,-,SLB,SLB,SLB,SLB,SLB,SLB,-1.64,-1.64
D,162,-1.45,LIC,http://www.somalia.gov.so/,191,https://www.mptt.gov.so/eng/,3,0,0,-,http://www.mof.gov.so,SFMIS,http://www.mof.gov.so/,http://www.mof.gov.so/taxes-and-tariffs,http://www.mof.gov.so/customs,-,-,-,"32,990",SHRM,SHRM,-,"Ministry of Finance, Debt Management Unit",http://www.mof.gov.so,2014,AFR,D,0,0,0,0,0,0,civil + customary + religious,0,0,0,-,-,1,-,0,1,0,2,0,2,0,0,0.05,0.16,9,SOM,0.22,0.16,0.10,0.26,-0.03,-0.08,-0.07,0.02,-0.15,-0.46,-0.27,-0.10,-0.14,-0.09,-0.10,-0.01,-0.05,-0.15,-0.03,-0.07,-0.08,-0.21,-0.05,-0.10,-0.10,-0.05,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,-0.15,-0.04,-0.03,-0.91,-0.54,-0.09,-0.06,-0.28,0.13,-0.12,0.11,0.19,SOM,D,D,0.166,-,0.129,0.190,-,SOM,SOM,SOM,SOM,SOM,SOM,-1.45,-1.45
A,163,0.62,UMIC,https://www.eservices.gov.za/,78,http://www.dpsa.gov.za/,3,1,1,1,http://www.treasury.gov.za,IFMS,http://www.treasury.gov.za/,http://www.sars.gov.za,http://www.sars.gov.za,http://www.sarsefiling.co.za/,https://www.sars.gov.za/ClientSegments/Individuals/How-Pay/Pages/Payment.aspx,http://www.saaa.gov.za/index.php/about-saaa/background.html,"1,830,200",PERSAL,PERSAL,National Treasury Website,South African Asset & Liability Management Branch,http://www.treasury.gov.za,,AFR,B,1,2,2,1,1,1,civil + common,2,2,2,0,0.59,3,3,1,1,2,2,1,2,2,1,0.57,0.52,44,ZAF,0.79,0.77,0.60,0.88,0.05,0.06,0.01,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,0.01,0.05,0.05,0.05,0.01,0.03,0.02,-0.01,0.04,0.12,-0.01,0.11,0.12,-0.06,-0.04,-0.04,0.10,0.13,-0.03,0.12,0.03,0.05,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.02,0.03,0.02,0.13,0.10,0.11,0.76,ZAF,A,A,0.758,Yes,0.689,0.772,-,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,0.62,0.62
D,164,-0.45,LIC,http://www.goss-online.org/,193,-,0,0,0,-,http://www.mofep-grss.org/,FMIS,http://www.mofep-grss.org/ministry/units/,http://www.mofep-grss.org/ministry/units/,http://www.mofep-grss.org/ministry/units/,-,-,-,"465,041",HRIS,SSEPS,-,Ministry of Finance,http://www.mofep-grss.org/,2010,AFR,D,0,0,0,0,0,0,-,0,0,2,-,-,1,-,0,1,0,0,0,0,0,1,0.01,0.15,12,SSD,0.29,0.14,0.08,0.16,-0.03,-0.08,-0.07,-0.11,-0.07,-0.46,-0.27,0.09,0.09,-0.09,0.03,-0.01,-0.05,-0.16,-0.03,-0.14,-0.08,-0.21,-0.05,-0.10,-0.10,-0.13,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,0.07,-0.04,-0.03,0.10,0.12,-0.09,-0.06,-0.20,-0.12,-0.12,-0.10,0.17,SSD,D,D,0.133,-,0.088,0.112,-,SSD,SSD,SSD,SSD,SSD,SSD,-0.45,-0.45
A,165,0.69,HIC,https://administracionelectronica.gob.es/pae_Home/pae_map-egov.html?idioma=en,17,https://administracionelectronica.gob.es/pae_Home/pae_Organizacion/SGAD.html#.XuCmYp4zblx,3,1,1,1,http://www.minhap.gob.es,SICOP II,https://www.hacienda.gob.es/en-GB/El%20Ministerio/Paginas/El%20Ministerio.aspx,http://www.agenciatributaria.es,http://www.agenciatributaria.es,https://www.agenciatributaria.gob.es/AEAT.sede/Inicio/Inicio.shtml,https://administracionelectronica.gob.es/ctt/pagos#.Xt6Q9mhKiUk,http://firmaelectronica.gob.es,"3,028,600",FUNCIONA,LisNom HAB / Isla,Contratacion,Spanish Ministry of Finance,http://www.minhap.gob.es,,-,A,2,2,2,1,1,0,civil,2,2,2,-,0.73,3,-,1,2,2,1,1,2,2,1,0.70,0.63,62,ESP,0.92,0.85,0.60,0.92,0.05,0.20,0.09,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,0.03,0.07,0.10,0.05,0.08,0.05,0.01,0.03,0.14,-0.01,0.06,0.12,0.01,0.11,-0.04,0.16,-0.04,-0.04,0.10,0.13,-0.03,-0.02,0.03,0.16,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.09,0.01,0.10,0.11,0.82,ESP,A,A,0.826,Yes,0.880,0.868,0.62,ESP,ESP,ESP,ESP,ESP,ESP,0.69,0.69
B,166,0.42,LMIC,http://www.president.gov.lk,85,https://www.icta.lk/digital-srilanka/,3,1,1,1,http://www.treasury.gov.lk,CIGAS > ITMIS,http://www.treasury.gov.lk/,http://www.ird.gov.lk,http://www.customs.gov.lk,-,https://www.cbsl.gov.lk/en/news/adopting-safe-and-secure-electronic-payment-practices,https://www.lawnet.gov.lk/1960/12/31/electronic-signatures-perspectives-and-problems/,"1,178,700",HRMIS,PS,National e-Government Procurement Portal,Ministry of Finance,http://www.npd.gov.lk/,,SAR,C,0,2,2,0,0,0,civil + common,1,1,2,1,0.52,2,2,1,2,1,1,1,2,1,1,0.48,0.44,38,LKA,0.67,0.77,0.29,0.73,0.05,0.06,0.01,0.02,0.01,0.07,0.02,0.09,0.09,-0.05,0.03,-0.01,0.01,-0.01,0.01,0.04,0.05,0.22,-0.02,0.14,-0.01,0.03,0.12,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,0.03,-0.06,0.02,0.03,0.07,-0.01,0.00,0.10,0.12,0.02,0.03,0.03,0.01,0.10,0.11,0.61,LKA,B,B,0.618,Yes,0.671,0.623,-,LKA,LKA,LKA,LKA,LKA,LKA,0.42,0.42
D,167,-0.30,LIC,http://www.presidency.gov.sd/,170,-,0,0,0,-,http://www.mof.gov.sd,IFMIS,http://www.mof.gov.sd,http://www.mof.gov.sd/viewer.php?target=dept_guider&display=NationalRevenue,http://www.customs.gov.sd,-,-,http://www.cbos.gov.sd/en/node/440,"382,907",-,-,-,Central Bank of Sudan,http://www.mof.gov.sd,,AFR,D,0,0,2,0,0,0,common + religious,0,0,2,-,-,1,1,0,1,0,0,0,0,0,1,0.18,0.23,16,SDN,0.23,0.31,0.09,0.27,-0.03,-0.08,-0.07,-0.11,-0.07,-0.46,0.02,-0.48,-0.60,-0.09,0.03,-0.01,-0.05,-0.08,-0.03,-0.06,-0.08,-0.21,-0.02,-0.10,-0.01,-0.08,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.06,-0.03,0.07,-0.04,-0.03,0.10,0.12,-0.03,0.03,-0.13,-0.12,-0.12,-0.10,0.22,SDN,D,D,0.211,-,0.315,0.181,-,SDN,SDN,SDN,SDN,SDN,SDN,-0.30,-0.30
C,168,-0.32,UMIC,http://www.gov.sr,122,http://www.gov.sr/actueel/2019/e-government-platform-vergroot-privacybescherming-burgerdata/,3,0,0,-,http://finance.gov.sr/,IFMIS,http://finance.gov.sr/,http://finance.gov.sr/directoraten/directoraat-belastingen/,http://finance.gov.sr/directoraten/directoraat-belastingen/,https://belastingdienst.sr/,-,-,"37,672",HRMIS,PS,-,Ministry of Finance,http://finance.gov.sr/,,LCR,D,0,0,2,0,0,0,civil,1,0,0,-,0.50,3,-,0,2,0,0,0,0,0,1,0.38,0.42,44,SUR,0.45,0.38,0.17,0.32,-0.03,-0.08,-0.07,0.02,-0.07,-0.10,0.02,0.09,0.09,-0.09,0.03,-0.01,-0.05,0.00,-0.03,-0.07,-0.08,0.01,-0.02,-0.10,-0.01,-0.07,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,-0.15,-0.01,-0.03,0.10,0.12,-0.09,0.03,0.01,-0.12,-0.12,-0.10,0.33,SUR,C,C,0.316,-,0.515,0.271,-,SUR,SUR,SUR,SUR,SUR,SUR,-0.32,-0.32
C,169,-0.40,LMIC,http://www.gov.sz/index.php/component/content/category/238-e-gov?Itemid=799,128,http://www.gov.sz/index.php?option=com_content&view=article&id=213&Itemid=303,2,0,0,-,http://www.gov.sz/index.php/ministries-departments/ministry-of-finance,IFMIS,http://www.gov.sz/index.php?option=com_content&view=article&id=417&Itemid=422,http://www.sra.org.sz,http://www.sra.org.sz/customs/pageview.php?id=84&name=Swaziland%20Customs,-,http://www.sra.org.sz/payments/payments.php,-,"72,416",HRMIS,PS,SPPRA,Ministry of Finance,http://www.gov.sz/index.php/ministries-departments/ministry-of-finance,,AFR,D,0,0,0,0,0,0,civil + common,1,1,0,-,-,1,-,0,1,0,0,0,0,0,1,0.36,0.40,34,SWZ,0.55,0.39,0.11,0.25,-0.03,-0.08,-0.07,0.02,0.01,0.07,0.02,-0.10,0.09,0.03,0.03,-0.01,-0.05,-0.06,-0.03,-0.02,-0.08,0.01,-0.02,-0.10,-0.01,-0.03,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.01,-0.03,-0.15,-0.01,0.00,0.10,0.12,-0.09,-0.06,-0.02,-0.12,-0.12,-0.10,0.32,SWZ,C,C,0.320,-,0.494,0.280,-,SWZ,SWZ,SWZ,SWZ,SWZ,SWZ,-0.40,-0.40
A,170,0.83,HIC,https://www.government.se/government-agencies/the-agency-for-digital-government/,6,https://www.digg.se/,3,2,1,1,http://www.sweden.gov.se,HERMES,https://www.riksgalden.se/,http://www.skatteverket.se,http://www.tullverket.se,http://www.skatteverket.se/foretagorganisationer/moms/redovisabetalamoms.4.7459477810df5bccdd480006935.html,-,http://www.kilpatricktownsend.se/en/e-signatures-sweden/,"1,444,700",Statens Servicecenter,Statens Servicecenter,Avropa,Swedish National Debt Office,http://www.sweden.gov.se,,-,A,2,1,2,1,1,0,civil,2,2,2,-,0.86,3,-,1,2,2,2,1,2,3,1,0.87,0.92,85,SWE,0.83,0.92,0.68,1.00,0.01,0.20,0.09,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.13,0.13,0.05,0.09,0.05,0.22,0.03,0.02,0.09,0.06,0.12,0.01,0.11,-0.04,0.16,-0.04,0.18,0.10,0.13,-0.03,-0.02,0.03,0.16,0.02,0.09,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.10,0.13,0.10,0.11,0.86,SWE,A,A,0.875,Yes,0.937,0.886,0.26,SWE,SWE,SWE,SWE,SWE,SWE,0.83,0.83
A,171,0.74,HIC,https://www.egovernment.ch/en/,16,https://www.egovernment.ch/de,3,2,1,1,http://www.efd.admin.ch,FMIS,http://www.snb.ch,http://www.estv.admin.ch,https://www.efd.admin.ch/efd/en/home/themen/zoll.html,http://www.getax.ch/,https://www.kmu.admin.ch/kmu/en/home/concrete-know-how/sme-management/e-commerce/creating-own-website/online-payment-methods/payment-service-providers.html,https://www.docusign.com/how-it-works/legality/global/switzerland,"760,900",ZIVI,FMIS,SIMAP,Swiss Federal Finance Administration,http://www.efd.admin.ch,,-,B,1,1,2,1,0,0,civil,2,2,2,-,-,3,-,1,2,0,2,1,2,2,1,0.89,0.90,85,CHE,0.71,0.99,0.61,0.96,0.01,0.06,0.01,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,0.13,-0.03,0.07,0.05,0.22,0.03,0.14,0.09,0.08,0.12,0.01,0.11,0.12,0.16,0.24,-0.04,-0.06,-0.05,-0.03,-0.02,0.03,0.05,0.02,0.09,0.07,0.02,0.03,0.10,0.12,0.07,0.03,0.08,0.13,0.10,0.11,0.82,CHE,A,A,0.814,Yes,0.891,0.790,-,CHE,CHE,CHE,CHE,CHE,CHE,0.74,0.74
C,172,-0.34,LIC,http://portal.egov.sy/page/en/138/0/Syrian+eGovernment.html,131,http://moct.gov.sy/,3,0,0,-,http://syrianfinance.gov.sy,IFMIS,http://syrianfinance.gov.sy/,http://syrianfinance.gov.sy,http://www.customs.gov.sy,-,-,https://web.archive.org/web/20140703094412/http://moct.gov.sy/moct/?q=ar/node/69,"1,402,000",-,-,-,Central Bank of Syria,http://syrianfinance.gov.sy,,MNA,D,0,0,2,0,0,0,civil + religious,1,0,0,-,-,1,1,0,0,0,0,0,0,0,1,0.16,0.16,13,SYR,0.30,0.40,0.04,0.35,-0.03,-0.08,-0.07,0.02,-0.15,0.07,0.02,-0.48,-0.60,-0.09,0.03,-0.01,-0.05,-0.05,-0.03,-0.01,-0.02,0.01,-0.05,-0.10,-0.01,-0.01,-0.10,-0.03,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,-0.15,-0.01,-0.03,0.10,0.12,-0.03,0.03,-0.07,-0.12,-0.12,-0.10,0.27,SYR,C,C,0.289,-,0.476,0.254,-,SYR,SYR,SYR,SYR,SYR,SYR,-0.34,-0.34
B,173,0.53,HIC,http://www.gov.tw,-,https://www.ndc.gov.tw/en/Content_List.aspx?n=9E9BA8CA6DE6BF5C,3,1,1,1,http://www.mof.gov.tw,GBA,http://www.nta.gov.tw/web/Eng/Default.aspx,http://www.dot.gov.tw,http://www.customs.gov.tw,http://www.etax.nat.gov.tw/etwmain/?orgId=FDC,https://www.bot.com.tw/English/BankServices/ElectronicBankingServices/ElectronicPayment/Pages/default.aspx,http://moica.nat.gov.tw/index.html,"906,000",CSOIS,CSOIS,Government e-Procurement System,Ministry of Finance,http://www.mof.gov.tw,,EAP,C,0,2,2,0,0,0,civil,2,0,2,-,-,3,-,1,2,2,2,1,2,2,1,0.79,0.71,65,TWN,0.78,0.92,0.25,0.81,0.05,0.06,-0.07,0.02,0.09,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,0.00,0.05,0.00,0.05,0.01,0.03,0.14,0.09,0.00,0.12,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,0.03,-0.06,0.02,0.03,0.07,0.02,-0.03,0.10,0.12,0.07,0.03,0.00,0.13,0.10,0.11,0.69,TWN,B,B,0.659,Yes,-,0.674,-,TWN,TWN,TWN,TWN,TWN,TWN,0.53,0.53
C,174,-0.13,LIC,http://www.parlament.tj,133,http://soi.tj/?p=6897&lang=tg,3,0,0,-,http://www.minfin.tj,TFMIS,http://www.minfin.tj,http://www.andoz.tj,http://www.customs.tj,http://portal.andoz.tj:8080/,-,http://www.tajik-gateway.org/index.phtml?id=1415&lang=ru,"470,300",-,-,e-procurement,Ministry of Finance,http://www.minfin.tj,,ECA,D,0,0,0,0,0,0,civil,2,2,2,0,-,1,-,0,0,0,0,0,0,0,1,0.29,0.24,25,TJK,0.37,0.45,0.03,0.47,-0.03,-0.08,-0.07,0.02,-0.07,-0.10,0.02,-0.48,-0.60,0.03,0.03,-0.01,-0.05,-0.06,-0.03,-0.06,-0.08,0.01,0.00,-0.10,-0.01,-0.05,-0.10,-0.03,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,0.07,0.02,0.03,0.10,0.12,-0.03,-0.06,0.02,-0.12,-0.12,-0.10,0.33,TJK,C,C,0.315,-,0.465,0.262,-,TJK,TJK,TJK,TJK,TJK,TJK,-0.13,-0.13
B,175,0.09,LMIC,http://www.tanzania.go.tz,152,http://www.ega.go.tz/,3,0,0,-,http://www.mof.go.tz,IFMS,http://www.mof.go.tz/,http://www.tra.go.tz,http://www.tra.go.tz,https://gateway.tra.go.tz/Efiling/login.aspx,https://sp.gepg.go.tz/login,-,"708,400",HCMIS,HCMIS,TendersPortal,Ministry of Finance,http://www.mof.go.tz,2007,AFR,C,0,1,2,1,1,1,common,1,1,2,1,0.47,2,-,0,1,0,0,1,2,2,1,0.32,0.42,37,TZA,0.66,0.54,0.50,0.54,0.01,0.06,0.09,-0.11,-0.07,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,-0.10,-0.03,0.00,-0.02,0.01,0.00,-0.10,-0.01,0.00,-0.10,-0.01,0.11,-0.04,0.16,-0.04,-0.04,0.10,0.13,-0.03,0.12,-0.02,-0.06,0.02,-0.03,0.07,-0.01,0.00,0.10,0.12,-0.09,0.03,-0.09,-0.12,0.10,0.11,0.56,TZA,B,B,0.553,-,0.421,0.555,-,TZA,TZA,TZA,TZA,TZA,TZA,0.09,0.09
A,176,0.71,UMIC,https://www.egov.go.th/th/profile/808/,57,https://www.dga.or.th/en/index.php,3,1,1,1,http://www2.mof.go.th/,GFMIS,http://www.treasury.go.th,http://www.rd.go.th,http://www.customs.go.th,http://rdserver.rd.go.th/publish/index.php,https://www.bot.or.th/English/PaymentSystems/PolicyPS/Documents/PaymentRoadmap_2021.pdf,http://www.etda.or.th/etda_website/eng/mains/display/603,"3,506,100",HRMS,HRMS,Thai Government Procurement,Ministry of Finance,http://www2.mof.go.th/,,EAP,A,2,2,2,1,1,0,civil + common,2,2,2,1,0.51,2,1,1,2,2,2,1,2,2,1,0.57,0.42,36,THA,0.77,0.84,0.75,0.92,0.05,-0.08,0.09,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,0.07,0.05,0.05,0.06,0.05,0.01,0.03,0.02,0.09,0.05,0.12,0.01,0.11,-0.04,0.16,0.24,-0.04,0.10,0.13,0.20,-0.02,0.03,0.16,0.02,0.03,0.07,0.02,0.03,0.10,0.12,0.02,0.03,0.04,0.13,0.10,0.11,0.82,THA,A,A,0.823,Yes,0.757,0.822,-,THA,THA,THA,THA,THA,THA,0.71,0.71
C,177,-0.70,LMIC,http://timor-leste.gov.tl,134,http://timor-leste.gov.tl/?lang=pt,2,0,0,-,http://www.mof.gov.tl,FMIS,http://www.mof.gov.tl,http://www.mof.gov.tl/taxation,http://www.mof.gov.tl/customs,-,-,-,"17,600",PMIS,PS,Timor Leste e-procurement system,"Ministry of Finance, DG Treasury",http://www.mof.gov.tl,2009,EAP,D,0,0,1,0,0,0,civil,2,0,2,-,-,3,-,0,2,0,0,0,0,0,1,0.32,0.42,38,TMP,0.57,0.39,0.19,0.32,-0.03,-0.08,-0.07,0.02,0.01,0.07,0.02,0.09,0.09,0.03,0.03,-0.01,-0.05,-0.05,-0.03,-0.03,-0.08,0.01,-0.02,-0.10,-0.01,-0.02,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,-0.01,-0.03,0.07,0.02,-0.03,0.10,-0.54,-0.09,-0.02,-0.05,-0.12,-0.12,-0.10,0.37,TMP,C,C,0.348,-,0.465,0.305,-,TMP,TMP,TMP,TMP,TMP,TMP,-0.70,-0.70
C,178,-0.26,LIC,http://www.togo.gouv.tg/,147,https://numerique.gouv.tg/,3,0,0,-,https://finances.gouv.tg/,SIGFIP,http://www.tresor-togo.org/,http://www.dgitogo.tg,http://www.douanes.tg,-,-,-,"60,000",-,-,ARMP,Ministry of Economy and Finance,https://finances.gouv.tg/,2011,AFR,D,0,0,1,0,0,0,customary,0,0,2,1,0.45,2,-,0,1,0,0,0,0,0,1,0.32,0.35,29,TGO,0.27,0.39,0.12,0.32,-0.03,-0.08,-0.07,0.02,-0.15,-0.46,0.02,-0.48,-0.60,-0.01,0.03,-0.01,-0.05,-0.09,-0.03,-0.02,-0.02,-0.21,-0.02,-0.10,-0.01,-0.01,-0.10,-0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,0.07,-0.04,-0.03,0.10,0.12,-0.09,-0.02,-0.06,-0.12,-0.12,-0.10,0.27,TGO,C,C,0.272,-,0.430,0.269,-,TGO,TGO,TGO,TGO,TGO,TGO,-0.26,-0.26
C,179,-0.31,UMIC,http://www.gov.to/press-release/cabinet-decision-to-rescind-its-earlier-decision-to-appoint-mr-piveni-piukala-to-lead-a-reform-e-government-technical-task-force-for-government/,108,http://www.finance.gov.to/node/468,3,0,0,-,http://www.finance.gov.to,FMIS,http://www.finance.gov.to,http://www.revenue.gov.to/Article.aspx?ID=1849,http://www.revenue.gov.to,-,http://www.tongapower.to/Customers/PaymentOptions.aspx,-,"6,700",CHRIS,MicrOpay,-,Ministry of Finance and National Planning,http://www.finance.gov.to,,EAP,D,0,1,2,0,0,0,common,0,0,0,-,-,3,-,0,2,0,0,0,0,0,1,0.53,0.43,-,TON,0.57,0.53,0.18,0.29,0.01,0.06,-0.07,0.02,0.01,0.07,0.02,0.09,0.09,-0.05,0.03,-0.01,-0.05,-0.02,-0.03,-0.05,-0.08,0.01,-0.02,0.14,-0.01,-0.05,-0.10,0.01,-0.08,-0.04,-0.06,-0.04,-0.04,-0.06,-0.05,-0.03,-0.02,-0.02,-0.06,0.02,-0.03,-0.15,-0.04,-0.03,0.10,0.12,-0.09,0.03,0.06,-0.12,-0.12,-0.10,0.39,TON,C,C,0.374,-,0.562,0.341,-,TON,TON,TON,TON,TON,TON,-0.31,-0.31
