Year,Economy,Economy Label,Partner,Partner Label,Flow,Flow Label,Category,Category Label,US dollars at current prices in millions,US dollars at current prices in millions Footnote,Growth rate (over previous period),Growth rate (over previous period) Footnote,Percentage of total world,Percentage of total world Footnote,Percentage of total trade in services,Percentage of total trade in services Footnote
2007,368,"Iraq",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1683.1,,4.77465,,,,34.59183,
2007,368,"Iraq",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",62.9,,,,0.003715,,7.24738,
2007,376,"Israel",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",8174.5,"Estimated",18.27903,"Estimated",,,45.2217,"Estimated"
2007,376,"Israel",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",12487.9,"Estimated",7.88869,"Estimated",0.737477,"Estimated",58.67326,"Estimated"
2007,380,"Italy",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",65797.483,,19.85618,,,,51.42915,"Estimated"
2007,380,"Italy",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",48904.568,,16.0331,,2.888076,,41.90709,"Estimated"
2007,384,"Côte d'Ivoire",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",575.878,,2.37631,,,,21.75329,
2007,384,"Côte d'Ivoire",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",425.567,,11.04482,,0.025132,,40.61192,
2007,388,"Jamaica",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",934.961,,16.12716,,,,40.97685,
2007,388,"Jamaica",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",283.273,,11.84764,,0.016729,,10.46619,
2007,3901,"APEC (Asia-Pacific Economic Cooperation)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",549212.272,,21.07948,,32.433915,,43.3103,
2007,3903,"CIS (Commonwealth of Independent States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",16550.872,,40.14449,,0.977417,,29.77693,
2007,3905,"OECD (Organisation for Economic Cooperation and Development)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1405496.498,,20.34164,,83.002068,,51.24946,
2007,3906,"OPEC (Organization of the Petroleum Exporting Countries)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",15744.128,,18.06887,,0.929775,,31.12841,
2007,3907,"ACP (African, Caribbean and Pacific Group of States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",12865.746,,26.9051,,0.759791,,18.95342,
2007,3908,"LAS (League of Arab States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",30653.548,,18.87872,,1.810256,,28.29621,
2007,3909,"OIC (Organisation of Islamic Cooperation)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",48147.57,,18.60245,,2.843371,,22.45931,
2007,3910,"OAS (Organization of American States)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",355250.867,,20.94427,,20.979459,,52.11696,
2007,3912,"G7 (Group of Seven)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",881552.887,,18.81744,,52.060402,,56.39046,
2007,3913,"G8 (Group of Eight)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",896020.727,,19.112,,52.914805,,55.75175,
2007,3916,"G20 (Group of Twenty)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1473055.691,,21.46988,,86.991799,,49.82578,
2007,3919,"G-77 (Group of 77)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",220119.286,,26.62086,,12.999218,,33.93887,
2007,392,"Japan",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",63844.5,,12.49597,,,,40.27038,
2007,392,"Japan",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",57272.3,,10.89268,,3.382235,,47.13917,
2007,3921,"GSTP (Global System of Trade Preferences among Developing Countries)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",173149.656,,25.26723,,10.225411,,36.63532,
2007,3922,"GSTP: Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",7874.856,,23.68951,,0.465052,,15.79879,
2007,3923,"GSTP: Latin America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",27280.961,,36.37612,,1.611086,,32.47594,
2007,3924,"GSTP: Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",137993.839,,23.37028,,8.149273,,40.73234,
2007,3932,"TPP (Trans-Pacific Partnership)",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",152141.276,,15.54917,,8.984754,,39.14226,
2007,3940,"ACP: Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",8142.089,,33.29391,,0.480834,,20.17247,
2007,3941,"ACP: Western Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1636.627,,34.15113,,0.096652,,21.02882,
2007,3942,"ACP: Eastern Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1920.04,,43.09509,,0.113389,,15.35389,
2007,3943,"ACP: Central Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",956.362,,16.45178,,0.056478,,34.87576,
2007,3944,"ACP: Southern Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3569.583,,32.60145,,0.210803,,21.22004,
2007,3945,"ACP: Caribbean",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",4343.274,,18.65976,,0.256494,,16.89921,
2007,3946,"ACP: Pacific",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",380.382,,2.96307,,0.022464,,20.9296,
2007,3947,"ACP: LDCs",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2329.193,,34.31244,,0.137551,,19.89441,
2007,3948,"ACP: LLDCs",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1245.861,,53.50281,,0.073575,,22.79338,
2007,3949,"ACP: islands states",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",5227.671,,21.95541,,0.308722,,16.97918,
2007,3950,"ACP: Northern Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",59.477,,78.19749,"Estimated",0.003512,,11.65275,
2007,398,"Kazakhstan",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",3913.098,,28.6102,,,,32.97157,
2007,398,"Kazakhstan",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",492.089,,74.86809,,0.02906,,14.36828,
2007,400,"Jordan",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",659.521,"Estimated",37.08605,"Estimated",,,18.75051,"Estimated"
2007,400,"Jordan",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",464.739,"Estimated",77.246,"Estimated",0.027445,"Estimated",12.71119,"Estimated"
2007,404,"Kenya",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",436.325,,13.62429,,,,25.81316,
2007,404,"Kenya",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",359.007,,20.36594,,0.021201,,12.21282,
2007,410,"Korea, Republic of",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",25649.5,,18.20264,,,,30.37151,
2007,410,"Korea, Republic of",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",18156.6,,24.22499,,1.072244,,25.42478,
2007,414,"Kuwait",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",257.201,"Estimated",10.56646,"Estimated",,,1.92749,"Estimated"
2007,414,"Kuwait",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",5423.38,"Estimated",31.90298,"Estimated",0.32028,"Estimated",53.33406,"Estimated"
2007,417,"Kyrgyzstan",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",111.367,,-26.49285,,,,18.4232,
2007,417,"Kyrgyzstan",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",106.669,,8.87885,,0.006299,,15.57744,
2007,418,"Lao People's Dem. Rep.",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",-13.681,"Estimated",27.0748,"Estimated",,,-31.20645,"Estimated"
2007,418,"Lao People's Dem. Rep.",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",24.384,"Estimated",160.06489,"Estimated",0.00144,"Estimated",8.76681,"Estimated"
2007,422,"Lebanon",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",5139.45,,21.98432,,,,51.48109,
2007,422,"Lebanon",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",6947.77,,13.76901,,0.410303,,54.45601,
2007,426,"Lesotho",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",42.37,,-30.54542,,,,11.27686,
2007,426,"Lesotho",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",6.651,"Estimated",41.33441,"Estimated",0.000393,"Estimated",15.62628,"Estimated"
2007,428,"Latvia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",863.179,,42.17273,,,,30.66085,
2007,428,"Latvia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1453.559,,63.02596,,0.08584,,33.22797,
2007,430,"Liberia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",47.659,"Estimated",-3.91312,"Estimated",,,3.81633,"Estimated"
2007,434,"Libya",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",257.1,,-16.16494,,,,9.64692,"Estimated"
2007,434,"Libya",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",9.1,,-86.41791,,0.000537,,8.3871,
2007,440,"Lithuania",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",483.087,,17.29598,,,,14.10237,
2007,440,"Lithuania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",386.888,"Estimated",14.65352,"Estimated",0.022848,"Estimated",9.12008,"Estimated"
2007,442,"Luxembourg",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",37937.955,,29.40914,,,,85.98128,
2007,442,"Luxembourg",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",55042.196,,28.12472,,3.250535,,86.39688,
2007,446,"China, Macao SAR",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1087.595,,48.07793,,,,48.06734,
2007,446,"China, Macao SAR",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",548.924,,44.74013,,0.032417,,4.57305,
2007,450,"Madagascar",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",599.326,,113.65051,,,,47.81613,
2007,450,"Madagascar",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",293.59,,71.14859,,0.017338,,30.44169,
2007,454,"Malawi",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",36.404,"Estimated",7.81682,"Estimated",,,23.85392,"Estimated"
2007,454,"Malawi",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",8.004,"Estimated",60.03548,"Estimated",0.000473,"Estimated",10.81414,"Estimated"
2007,458,"Malaysia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",8309.572,,17.7823,,,,28.98513,
2007,458,"Malaysia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",5387.254,,24.77468,,0.318146,,18.52831,
2007,462,"Maldives",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",52.439,"Estimated",60.98112,"Estimated",,,15.84779,"Estimated"
2007,462,"Maldives",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",29.028,"Estimated",173.24282,"Estimated",0.001714,"Estimated",1.8408,"Estimated"
2007,466,"Mali",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",140.819,,22.61899,,,,18.09766,
2007,466,"Mali",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",110.21,,49.7212,,0.006508,,29.21946,
2007,470,"Malta",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",4597.602,,31.43235,,,,88.00644,
2007,470,"Malta",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",4357.865,,28.38396,,0.257355,,65.76629,
2007,480,"Mauritius",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",559.246,,35.16823,,,,35.63509,
2007,480,"Mauritius",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",444.824,,62.74902,,0.026269,,20.17186,
2007,484,"Mexico",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",6647.039,,6.80224,,,,26.01367,
2007,484,"Mexico",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2747.558,,43.5067,,0.162258,,15.66792,
2007,496,"Mongolia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",77.209,,23.47695,"Estimated",,,16.62709,
2007,496,"Mongolia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",42.953,,-0.12417,"Estimated",0.002537,,7.48576,
2007,498,"Moldova, Republic of",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",124.51,,39.94605,,,,18.97209,
2007,498,"Moldova, Republic of",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",151.5,,28.95812,,0.008947,,21.05775,
2007,500,"Montserrat",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",6.862,"Estimated",6.31044,"Estimated",,,36.09124,"Estimated"
2007,500,"Montserrat",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",5.896,"Estimated",12.62392,"Estimated",0.000348,"Estimated",40.05831,"Estimated"
2007,504,"Morocco",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1435.61,"Estimated",28.71289,"Estimated",,,26.50645,"Estimated"
2007,504,"Morocco",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2438.092,"Estimated",38.63633,"Estimated",0.143982,"Estimated",17.33471,"Estimated"
2007,508,"Mozambique",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",282.545,,56.0319,,,,32.98717,
2007,508,"Mozambique",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",92.921,,13.12081,,0.005487,,20.25619,
2007,5100,"Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",14619.458,,25.23351,,0.863357,,17.80897,
2007,5110,"Northern Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",6536.846,,16.75517,,0.386036,,15.47606,
2007,512,"Oman",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",2621.583,"Estimated",34.35697,"Estimated",,,51.45474,"Estimated"
2007,512,"Oman",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",647.594,"Estimated",43.9305,"Estimated",0.038244,"Estimated",38.48541,"Estimated"
2007,5120,"Sub-Saharan Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",8082.612,,33.0472,,0.477321,,20.28159,
2007,5121,"Eastern Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1920.04,,43.09509,,0.113389,,15.35389,
2007,5122,"Middle Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",956.362,,16.45178,,0.056478,,34.87576,
2007,5123,"Southern Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",3569.583,,32.60145,,0.210803,,21.22004,
2007,5124,"Western Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1636.627,,34.15113,,0.096652,,21.02882,
2007,516,"Namibia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",121.507,,-4.79224,,,,23.74668,
2007,516,"Namibia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",25.446,,12.53766,,0.001503,,4.25626,
2007,5200,"America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",358137.806,,20.81781,,21.149949,,52.00272,
2007,5210,"Northern America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",324656.296,,19.85703,,19.172687,,56.99454,
2007,5220,"Latin America and the Caribbean",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",33481.51,,31.00032,,1.977262,,28.12073,
2007,5221,"Caribbean",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",6034.813,,15.21712,,0.356388,,19.90513,
2007,5222,"Central America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",5502.997,,27.96515,,0.324981,,17.1627,
2007,5223,"South America",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",21943.7,,36.97536,,1.295893,,38.7138,
2007,524,"Nepal",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",155.196,"Estimated",33.03706,"Estimated",,,21.47776,"Estimated"
2007,524,"Nepal",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",102.565,"Estimated",15.61228,"Estimated",0.006057,"Estimated",20.05837,"Estimated"
2007,530,"Netherlands Antilles",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",348.113,,0.06722,,,,43.65495,"Estimated"
2007,530,"Netherlands Antilles",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",752.123,,0.73755,,0.044417,,34.79566,"Estimated"
2007,5300,"Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",299318.964,,21.3791,,17.676382,,36.66008,
2007,5320,"Southern Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",66400.454,,25.08705,,3.921301,,64.32158,
2007,533,"Aruba",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",279.679,,-1.6559,,,,35.60894,
2007,533,"Aruba",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",171.184,,0.30598,,0.010109,,11.63547,
2007,5330,"Eastern Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",138700.699,,21.22684,,8.191016,,33.2288,
2007,5340,"Western Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",38827.732,,16.12502,,2.292985,,32.27006,
2007,5350,"South-eastern Asia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",53920.471,,21.0034,,3.184292,,32.06671,
2007,540,"New Caledonia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",464.788,,-20.61295,,,,35.38192,
2007,540,"New Caledonia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",56.968,,-13.79789,,0.003364,,10.99209,
2007,5400,"Europe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1007284.06,,21.51911,,59.485499,,51.13827,
2007,5410,"Eastern Europe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",45381.003,,39.90339,,2.67999,,28.01951,
2007,5420,"Northern Europe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",385351.416,,21.3348,,22.757057,,63.77012,
2007,5430,"Southern Europe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",109206.78,,18.31133,,6.449243,,31.60633,
2007,5440,"Western Europe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",467344.861,,20.89386,,27.599208,,54.47162,
2007,548,"Vanuatu",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",14.02,,2.27861,,,,18.52582,
2007,548,"Vanuatu",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",25.817,,9.99288,,0.001525,,13.88483,
2007,5500,"Oceania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",13966.793,,25.1209,,0.824814,,23.80356,
2007,554,"New Zealand",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",3141.902,,20.67847,,,,32.7821,
2007,554,"New Zealand",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1941.977,,22.88334,,0.114684,,16.69024,
2007,558,"Nicaragua",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",178.4,"Estimated",19.81195,"Estimated",,,25.94909,"Estimated"
2007,558,"Nicaragua",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",35,"Estimated",6.38298,"Estimated",0.002067,"Estimated",6.63885,"Estimated"
2007,5600,"Asia and Oceania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",313285.757,,21.54115,,18.501196,,35.7981,
2007,562,"Niger",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",54.544,,-23.68805,,,,14.74894,
2007,562,"Niger",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",26.326,,-30.82277,,0.001555,,31.06506,
2007,566,"Nigeria",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",4902.869,,-10.32829,,,,26.72104,
2007,566,"Nigeria",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",54.622,,19.57209,,0.003226,,3.78495,
2007,579,"Norway",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",14125.811,,21.47065,,,,34.23559,
2007,579,"Norway",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",13783.274,,27.75526,,0.813976,,36.44036,
2007,586,"Pakistan",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",3501,,2.09974,,,,39.13043,
2007,586,"Pakistan",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",771,,-5.28256,,0.045532,,20.68133,
2007,591,"Panama",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",556.9,,33.80586,,,,26.09531,
2007,591,"Panama",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",859.8,,14.01671,,0.050776,,19.75553,
2007,598,"Papua New Guinea",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1231.246,"Estimated",23.43949,"Estimated",,,67.57962,"Estimated"
2007,598,"Papua New Guinea",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",278.363,"Estimated",9.51973,"Estimated",0.016439,"Estimated",77.28506,"Estimated"
2007,600,"Paraguay",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",64.84,,6.45214,,,,13.97348,
2007,600,"Paraguay",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",53.2,,-0.9311,,0.003142,,10.55133,
2007,604,"Peru",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1253.131,,19.51529,,,,28.77764,
2007,604,"Peru",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",649.343,,55.53696,,0.038347,,20.59657,"Estimated"
2007,608,"Philippines",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1825.85,,37.87991,,,,24.20373,
2007,608,"Philippines",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",7270.699,,12.59807,,0.429374,,53.85025,
2007,616,"Poland",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",9295.128,,31.41544,,,,38.06701,
2007,616,"Poland",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",7178.582,,44.65001,,0.423934,,22.57742,
2007,620,"Portugal",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",5288.926,,27.5573,,,,38.60584,
2007,620,"Portugal",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",5519.99,,40.65898,,0.325985,,23.33312,
2007,624,"Guinea-Bissau",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",4,"Estimated",162.43061,"Estimated",,,5.86167,"Estimated"
2007,624,"Guinea-Bissau",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",4.93,"Estimated",688.33815,"Estimated",0.000291,"Estimated",14.7649,"Estimated"
2007,626,"Timor-Leste",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",13.353,,7.52894,,,,4.10541,
2007,634,"Qatar",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",999.276,"Estimated",-34.03787,"Estimated",,,13.3978,"Estimated"
2007,634,"Qatar",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",273.351,"Estimated",272.65329,"Estimated",0.016143,"Estimated",7.60994,"Estimated"
2007,642,"Romania",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",3364.121,,14.8272,,,,37.34285,
2007,642,"Romania",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",4802.578,,51.68421,,0.283618,,36.68176,
2007,643,"Russian Federation",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",21846.16,,42.39429,,,,36.06292,
2007,643,"Russian Federation",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",14467.84,,40.30585,,0.854403,,32.98634,
2007,659,"Saint Kitts and Nevis",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",41.005,"Estimated",9.96434,"Estimated",,,39.66973,"Estimated"
2007,659,"Saint Kitts and Nevis",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",29.599,"Estimated",6.56818,"Estimated",0.001748,"Estimated",16.86626,"Estimated"
2007,660,"Anguilla",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",31.564,"Estimated",7.59765,"Estimated",,,30.6652,"Estimated"
2007,660,"Anguilla",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",14.219,"Estimated",14.24465,"Estimated",0.00084,"Estimated",10.58685,"Estimated"
2007,662,"Saint Lucia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",57.584,"Estimated",26.55763,"Estimated",,,27.99566,"Estimated"
2007,662,"Saint Lucia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",34.462,"Estimated",31.90274,"Estimated",0.002035,"Estimated",9.6826,"Estimated"
2007,670,"Saint Vincent and the Grenadines",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",37.627,"Estimated",40.81844,"Estimated",,,32.94672,"Estimated"
2007,670,"Saint Vincent and the Grenadines",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",36.637,"Estimated",-16.64244,"Estimated",0.002164,"Estimated",22.77368,"Estimated"
2007,678,"Sao Tome and Principe",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1.514,,-35.13496,,,,8.11066,
2007,678,"Sao Tome and Principe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",1.296,,-9.12941,,7.7E-05,,19.34399,
2007,682,"Saudi Arabia",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",10238.66,"Estimated",32.55962,"Estimated",,,16.23725,"Estimated"
2007,682,"Saudi Arabia",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",7931.493,"Estimated",15.02919,"Estimated",0.468397,"Estimated",48.38106,"Estimated"
2007,686,"Senegal",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",313.267,,24.58818,,,,25.09627,
2007,686,"Senegal",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",366.144,,22.36626,"Estimated",0.021623,,30.66635,
2007,690,"Seychelles",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",89.725,"Estimated",14.59903,"Estimated",,,36.35992,"Estimated"
2007,690,"Seychelles",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",16.464,"Estimated",-19.23352,"Estimated",0.000972,"Estimated",3.60921,"Estimated"
2007,694,"Sierra Leone",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",19.354,,12.81475,,,,20.52208,
2007,694,"Sierra Leone",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",4.999,,46.62868,,0.000295,,11.52859,
2007,702,"Singapore",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",32882.504,,12.62733,,,,43.80181,
2007,702,"Singapore",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",29764.932,,26.65486,,1.757778,,40.48751,
2007,704,"Viet Nam",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",1237.661,"Estimated",30.16575,"Estimated",,,17.24482,"Estimated"
2007,704,"Viet Nam",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",786,"Estimated",17.31343,"Estimated",0.046417,"Estimated",12.16718,"Estimated"
2007,710,"South Africa",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",4403.183,,16.81839,,,,27.10385,
2007,710,"South Africa",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",2931.772,,25.22486,,0.173137,,19.75641,
2007,716,"Zimbabwe",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",45.47,,-2.2781,,,,8.11993,
2007,716,"Zimbabwe",0000,"World",02,"Exports",SDDL,"Digitally-deliverable services",27.127,,-7.40127,,0.001602,,9.88705,
2007,736,"Sudan (...2011)",0000,"World",01,"Imports",SDDL,"Digitally-deliverable services",252.862,,9.27948,,,,9.43068,
